target_measurement	structure_features
P00533_pIC50	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32,FP33,FP34,FP35,FP37,FP38,FP39,FP40,FP41,FP42,FP43,FP44,FP45,FP46,FP47,FP48,FP49,FP50,FP51,FP52,FP53,FP54,FP55,FP56,FP57,FP58,FP59,FP60,FP61,FP62,FP63,FP64,FP65,FP66,FP67,FP68,FP70,FP71,FP72,FP73,FP76,FP77,FP78,FP79,FP80,FP82,FP84,FP85,FP86,FP87,FP89,FP91,FP92,FP94,FP95,FP96,FP97,FP98,FP99,FP100,FP101,FP103,FP104,FP105,FP106,FP107,FP108,FP109,FP110,FP111,FP112,FP115,FP118,FP119,FP120,FP121,FP122,FP123,FP124,FP125,FP126,FP129,FP131,FP132,FP133,FP134,FP135,FP136,FP137,FP138,FP139,FP141,FP142,FP144,FP145,FP146,FP147,FP148,FP149,FP150,FP151,FP153,FP154,FP155,FP156,FP158,FP159,FP161,FP162,FP163,FP164,FP165,FP166
P00734_pKi	FP23,FP25,FP36,FP37,FP38,FP43,FP45,FP46,FP59,FP62,FP64,FP65,FP71,FP72,FP75,FP76,FP77,FP78,FP79,FP80,FP81,FP82,FP83,FP84,FP85,FP86,FP87,FP90,FP91,FP92,FP93,FP95,FP96,FP98,FP99,FP100,FP101,FP103,FP104,FP107,FP108,FP110,FP111,FP112,FP113,FP116,FP117,FP118,FP119,FP120,FP121,FP122,FP123,FP124,FP125,FP126,FP128,FP129,FP131,FP132,FP133,FP135,FP136,FP137,FP138,FP144,FP145,FP147,FP148,FP150,FP151,FP152,FP153,FP155,FP157,FP159,FP166
P00742_pKi	FP23,FP24,FP43,FP47,FP52,FP53,FP54,FP62,FP65,FP66,FP72,FP75,FP76,FP78,FP79,FP80,FP82,FP83,FP84,FP85,FP87,FP90,FP92,FP94,FP95,FP96,FP97,FP103,FP105,FP107,FP109,FP113,FP116,FP118,FP119,FP120,FP122,FP123,FP124,FP127,FP128,FP132,FP133,FP134,FP135,FP136,FP137,FP139,FP143,FP144,FP148,FP150,FP152,FP154,FP157,FP159
P00747_pKi	FP11,FP14,FP18,FP19,FP22,FP24,FP32,FP33,FP44,FP49,FP51,FP54,FP55,FP56,FP57,FP58,FP59,FP60,FP61,FP62,FP63,FP64,FP65,FP67,FP69,FP70,FP71,FP73,FP75,FP81,FP82,FP83,FP85,FP86,FP88,FP92,FP94,FP98,FP99,FP102,FP103,FP110,FP112,FP113,FP117,FP120,FP121,FP122,FP124,FP127,FP129,FP130,FP133,FP135,FP138,FP140,FP143,FP144,FP146,FP147,FP150,FP152,FP157
P00749_pIC50	FP25,FP29,FP38,FP43,FP48,FP53,FP62,FP65,FP77,FP78,FP89,FP90,FP93,FP95,FP105,FP119,FP123,FP127,FP135,FP139,FP140,FP143,FP144,FP155
P00797_pKi	FP23,FP66,FP89,FP93,FP106,FP108,FP112,FP125,FP129,FP145
P00915_pKi	FP1,FP2,FP4,FP5,FP6,FP7,FP8,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP20,FP21,FP22,FP23,FP25,FP27,FP28,FP32,FP33,FP35,FP36,FP37,FP38,FP39,FP40,FP42,FP43,FP46,FP47,FP51,FP52,FP55,FP56,FP57,FP58,FP59,FP60,FP61,FP62,FP64,FP65,FP67,FP68,FP69,FP70,FP73,FP74,FP75,FP77,FP78,FP79,FP80,FP81,FP82,FP83,FP84,FP85,FP86,FP88,FP89,FP92,FP93,FP94,FP95,FP96,FP97,FP98,FP100,FP102,FP104,FP105,FP106,FP107,FP109,FP110,FP111,FP112,FP113,FP114,FP117,FP119,FP120,FP121,FP122,FP123,FP124,FP125,FP126,FP127,FP128,FP130,FP132,FP133,FP134,FP135,FP136,FP137,FP139,FP140,FP141,FP142,FP143,FP145,FP146,FP147,FP148,FP149,FP151,FP152,FP153,FP154,FP155,FP156,FP157,FP158,FP161,FP166
P00918_pKi	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32,FP33,FP34,FP35,FP37,FP38,FP39,FP40,FP41,FP42,FP43,FP44,FP45,FP46,FP48,FP50,FP51,FP55,FP56,FP58,FP59,FP60,FP61,FP63,FP64,FP65,FP66,FP67,FP68,FP69,FP73,FP74,FP76,FP77,FP78,FP79,FP81,FP83,FP84,FP85,FP86,FP87,FP88,FP90,FP91,FP92,FP93,FP94,FP95,FP96,FP98,FP99,FP100,FP101,FP102,FP103,FP104,FP105,FP106,FP107,FP108,FP109,FP110,FP111,FP112,FP114,FP115,FP117,FP118,FP119,FP120,FP121,FP122,FP123,FP124,FP125,FP126,FP127,FP128,FP129,FP130,FP131,FP132,FP133,FP134,FP135,FP136,FP137,FP138,FP139,FP140,FP142,FP145,FP146,FP147,FP148,FP149,FP150,FP151,FP152,FP153,FP154,FP155,FP156,FP157,FP158,FP159,FP160,FP161,FP162,FP163,FP164,FP165,FP166
P03372_pIC50	FP26,FP38,FP45,FP50,FP53,FP62,FP72,FP76,FP77,FP78,FP79,FP80,FP85,FP86,FP92,FP93,FP95,FP97,FP100,FP110,FP111,FP113,FP114,FP117,FP118,FP119,FP120,FP122,FP125,FP126,FP127,FP128,FP129,FP131,FP133,FP135,FP136,FP138,FP139,FP142,FP143,FP146,FP147,FP148,FP150,FP151,FP152,FP153,FP154,FP156,FP157,FP158,FP161,FP162
P03951_pKi	FP43,FP65,FP95,FP98,FP100,FP104,FP109,FP111,FP127,FP128,FP129,FP138,FP139,FP141,FP143,FP150,FP153
