index1	index2	feature_jaccard_similarity
O00444_pIC50	O14672_pIC50	0.14285714285714285
O00444_pIC50	O14684_pIC50	0.13861386138613863
O00444_pIC50	O43614_pEC50	0.041666666666666664
O00444_pIC50	O60341_pIC50	0.3235294117647059
O00444_pIC50	O75469_pEC50	0.13793103448275862
O00444_pIC50	O94925_pIC50	0.14516129032258066
O00444_pIC50	O96017_pIC50	0.23214285714285715
O00444_pIC50	P00374_pKi	0.23529411764705882
O00444_pIC50	P00519_pKi	0.2054794520547945
O00444_pIC50	P00749_pIC50	0.1267605633802817
O00444_pIC50	P03372_pIC50	0.14814814814814814
O00444_pIC50	P03956_pKi	0.14814814814814814
O00444_pIC50	P04054_pIC50	0.06976744186046512
O00444_pIC50	P07477_pKi	0.21818181818181817
O00444_pIC50	P07900_pKd	0.08620689655172414
O00444_pIC50	P07947_pIC50	0.18518518518518517
O00444_pIC50	P08908_pIC50	0.10810810810810811
O00444_pIC50	P09237_pIC50	0.08823529411764706
O00444_pIC50	P09871_pKi	0.07142857142857142
O00444_pIC50	P09874_pEC50	0.25
O00444_pIC50	P10323_pIC50	0.26666666666666666
O00444_pIC50	P10415_pKi	0.22033898305084745
O00444_pIC50	P10721_pKi	0.12903225806451613
O00444_pIC50	P10826_pKi	0.02631578947368421
O00444_pIC50	P11142_pIC50	0.06451612903225806
O00444_pIC50	P11309_pKi	0.10204081632653061
O00444_pIC50	P11387_pIC50	0.203125
O00444_pIC50	P11473_pIC50	0.2558139534883721
O00444_pIC50	P13726_pIC50	0.13793103448275862
O00444_pIC50	P16109_pIC50	0.13846153846153847
O00444_pIC50	P16581_pIC50	0.09433962264150944
O00444_pIC50	P17706_pIC50	0.109375
O00444_pIC50	P17931_pKd	0.0
O00444_pIC50	P18858_pIC50	0.03333333333333333
O00444_pIC50	P19793_pIC50	0.1875
O00444_pIC50	P21397_pKi	0.18333333333333332
O00444_pIC50	P21728_pEC50	0.0
O00444_pIC50	P22894_pKi	0.14893617021276595
O00444_pIC50	P24530_pKi	0.125
O00444_pIC50	P25929_pIC50	0.2647058823529412
O00444_pIC50	P28715_pIC50	0.16129032258064516
O00444_pIC50	P29274_pEC50	0.08571428571428572
O00444_pIC50	P30411_pKd	0.02564102564102564
O00444_pIC50	P30531_pIC50	0.3448275862068966
O00444_pIC50	P30556_pIC50	0.20689655172413793
O00444_pIC50	P33527_pIC50	0.15789473684210525
O00444_pIC50	P35372_pEC50	0.15492957746478872
O00444_pIC50	P39748_pIC50	0.21951219512195122
O00444_pIC50	P39900_pKi	0.15555555555555556
O00444_pIC50	P40763_pKi	0.1111111111111111
O00444_pIC50	P41586_pIC50	0.14285714285714285
O00444_pIC50	P41968_pKi	0.1016949152542373
O00444_pIC50	P42574_pIC50	0.06578947368421052
O00444_pIC50	P47901_pKi	0.2127659574468085
O00444_pIC50	P49146_pEC50	0.0
O00444_pIC50	P49238_pKi	0.07894736842105263
O00444_pIC50	P49327_pIC50	0.18181818181818182
O00444_pIC50	P49768_pEC50	0.16
O00444_pIC50	P53609_pIC50	0.20930232558139536
O00444_pIC50	P55055_pIC50	0.014285714285714285
O00444_pIC50	P62937_pIC50	0.12
O00444_pIC50	P62942_pIC50	0.13333333333333333
O00444_pIC50	P78536_pIC50	0.13513513513513514
O00444_pIC50	P98170_pIC50	0.14634146341463414
O00444_pIC50	Q00796_pIC50	0.06666666666666667
O00444_pIC50	Q04760_pKi	0.03225806451612903
O00444_pIC50	Q05586_pIC50	0.16666666666666666
O00444_pIC50	Q07817_pIC50	0.2
O00444_pIC50	Q13093_pIC50	0.125
O00444_pIC50	Q13258_pKi	0.05
O00444_pIC50	Q13946_pIC50	0.1724137931034483
O00444_pIC50	Q15722_pKi	0.2857142857142857
O00444_pIC50	Q15746_pIC50	0.10810810810810811
O00444_pIC50	Q16602_pIC50	0.3333333333333333
O00444_pIC50	Q16790_pIC50	0.1111111111111111
O00444_pIC50	Q8IU80_pKi	0.03571428571428571
O00444_pIC50	Q99500_pIC50	0.0
O00444_pIC50	Q9GZT9_pIC50	0.3142857142857143
O00444_pIC50	Q9H228_pIC50	0.1935483870967742
O00444_pIC50	Q9H244_pKi	0.17647058823529413
O00444_pIC50	Q9HAZ1_pIC50	0.16
O00444_pIC50	Q9HBH1_pIC50	0.02857142857142857
O00444_pIC50	Q9HC97_pEC50	0.0
O00444_pIC50	Q9NYA1_pIC50	0.3125
O00444_pIC50	Q9Y239_pEC50	0.0
O00444_pIC50	Q9Y5N1_pIC50	0.21212121212121213
O14672_pIC50	O14684_pIC50	0.2018348623853211
O14672_pIC50	O43614_pEC50	0.025
O14672_pIC50	O60341_pIC50	0.17307692307692307
O14672_pIC50	O75469_pEC50	0.24242424242424243
O14672_pIC50	O94925_pIC50	0.16
O14672_pIC50	O96017_pIC50	0.14864864864864866
O14672_pIC50	P00374_pKi	0.2345679012345679
O14672_pIC50	P00519_pKi	0.2839506172839506
O14672_pIC50	P00749_pIC50	0.11627906976744186
O14672_pIC50	P03372_pIC50	0.20689655172413793
O14672_pIC50	P03956_pKi	0.18181818181818182
O14672_pIC50	P04054_pIC50	0.14814814814814814
O14672_pIC50	P07477_pKi	0.136986301369863
O14672_pIC50	P07900_pKd	0.16176470588235295
O14672_pIC50	P07947_pIC50	0.17073170731707318
O14672_pIC50	P08908_pIC50	0.11764705882352941
O14672_pIC50	P09237_pIC50	0.15217391304347827
O14672_pIC50	P09871_pKi	0.0
O14672_pIC50	P09874_pEC50	0.1
O14672_pIC50	P10323_pIC50	0.08
O14672_pIC50	P10415_pKi	0.2571428571428571
O14672_pIC50	P10721_pKi	0.1590909090909091
O14672_pIC50	P10826_pKi	0.057692307692307696
O14672_pIC50	P11142_pIC50	0.13953488372093023
O14672_pIC50	P11309_pKi	0.09375
O14672_pIC50	P11387_pIC50	0.2236842105263158
O14672_pIC50	P11473_pIC50	0.42857142857142855
O14672_pIC50	P13726_pIC50	0.06521739130434782
O14672_pIC50	P16109_pIC50	0.16883116883116883
O14672_pIC50	P16581_pIC50	0.07246376811594203
O14672_pIC50	P17706_pIC50	0.12987012987012986
O14672_pIC50	P17931_pKd	0.0
O14672_pIC50	P18858_pIC50	0.021739130434782608
O14672_pIC50	P19793_pIC50	0.1794871794871795
O14672_pIC50	P21397_pKi	0.12987012987012986
O14672_pIC50	P21728_pEC50	0.13513513513513514
O14672_pIC50	P22894_pKi	0.14754098360655737
O14672_pIC50	P24530_pKi	0.24489795918367346
O14672_pIC50	P25929_pIC50	0.18
O14672_pIC50	P28715_pIC50	0.10638297872340426
O14672_pIC50	P29274_pEC50	0.0
O14672_pIC50	P30411_pKd	0.09803921568627451
O14672_pIC50	P30531_pIC50	0.14583333333333334
O14672_pIC50	P30556_pIC50	0.10256410256410256
O14672_pIC50	P33527_pIC50	0.09090909090909091
O14672_pIC50	P35372_pEC50	0.30666666666666664
O14672_pIC50	P39748_pIC50	0.17857142857142858
O14672_pIC50	P39900_pKi	0.13333333333333333
O14672_pIC50	P40763_pKi	0.08196721311475409
O14672_pIC50	P41586_pIC50	0.09803921568627451
O14672_pIC50	P41968_pKi	0.14084507042253522
O14672_pIC50	P42574_pIC50	0.18292682926829268
O14672_pIC50	P47901_pKi	0.23728813559322035
O14672_pIC50	P49146_pEC50	0.0
O14672_pIC50	P49238_pKi	0.03636363636363636
O14672_pIC50	P49327_pIC50	0.12244897959183673
O14672_pIC50	P49768_pEC50	0.07142857142857142
O14672_pIC50	P53609_pIC50	0.0967741935483871
O14672_pIC50	P55055_pIC50	0.14473684210526316
O14672_pIC50	P62937_pIC50	0.047619047619047616
O14672_pIC50	P62942_pIC50	0.1111111111111111
O14672_pIC50	P78536_pIC50	0.26785714285714285
O14672_pIC50	P98170_pIC50	0.16666666666666666
O14672_pIC50	Q00796_pIC50	0.09090909090909091
O14672_pIC50	Q04760_pKi	0.043478260869565216
O14672_pIC50	Q05586_pIC50	0.16129032258064516
O14672_pIC50	Q07817_pIC50	0.13725490196078433
O14672_pIC50	Q13093_pIC50	0.13043478260869565
O14672_pIC50	Q13258_pKi	0.07407407407407407
O14672_pIC50	Q13946_pIC50	0.08695652173913043
O14672_pIC50	Q15722_pKi	0.13043478260869565
O14672_pIC50	Q15746_pIC50	0.05555555555555555
O14672_pIC50	Q16602_pIC50	0.21428571428571427
O14672_pIC50	Q16790_pIC50	0.06976744186046512
O14672_pIC50	Q8IU80_pKi	0.046511627906976744
O14672_pIC50	Q99500_pIC50	0.057692307692307696
O14672_pIC50	Q9GZT9_pIC50	0.16981132075471697
O14672_pIC50	Q9H228_pIC50	0.1276595744680851
O14672_pIC50	Q9H244_pKi	0.1566265060240964
O14672_pIC50	Q9HAZ1_pIC50	0.05714285714285714
O14672_pIC50	Q9HBH1_pIC50	0.15555555555555556
O14672_pIC50	Q9HC97_pEC50	0.017241379310344827
O14672_pIC50	Q9NYA1_pIC50	0.20833333333333334
O14672_pIC50	Q9Y239_pEC50	0.06779661016949153
O14672_pIC50	Q9Y5N1_pIC50	0.07692307692307693
O14684_pIC50	O43614_pEC50	0.02040816326530612
O14684_pIC50	O60341_pIC50	0.1650485436893204
O14684_pIC50	O75469_pEC50	0.21551724137931033
O14684_pIC50	O94925_pIC50	0.24786324786324787
O14684_pIC50	O96017_pIC50	0.25217391304347825
O14684_pIC50	P00374_pKi	0.40707964601769914
O14684_pIC50	P00519_pKi	0.46846846846846846
O14684_pIC50	P00749_pIC50	0.37168141592920356
O14684_pIC50	P03372_pIC50	0.45255474452554745
O14684_pIC50	P03956_pKi	0.2803738317757009
O14684_pIC50	P04054_pIC50	0.19801980198019803
O14684_pIC50	P07477_pKi	0.3148148148148148
O14684_pIC50	P07900_pKd	0.2545454545454545
O14684_pIC50	P07947_pIC50	0.07
O14684_pIC50	P08908_pIC50	0.10476190476190476
O14684_pIC50	P09237_pIC50	0.14285714285714285
O14684_pIC50	P09871_pKi	0.06060606060606061
O14684_pIC50	P09874_pEC50	0.26262626262626265
O14684_pIC50	P10323_pIC50	0.13
O14684_pIC50	P10415_pKi	0.3008849557522124
O14684_pIC50	P10721_pKi	0.13402061855670103
O14684_pIC50	P10826_pKi	0.08571428571428572
O14684_pIC50	P11142_pIC50	0.06930693069306931
O14684_pIC50	P11309_pKi	0.2403846153846154
O14684_pIC50	P11387_pIC50	0.4074074074074074
O14684_pIC50	P11473_pIC50	0.1834862385321101
O14684_pIC50	P13726_pIC50	0.125
O14684_pIC50	P16109_pIC50	0.34234234234234234
O14684_pIC50	P16581_pIC50	0.24299065420560748
O14684_pIC50	P17706_pIC50	0.23728813559322035
O14684_pIC50	P17931_pKd	0.030927835051546393
O14684_pIC50	P18858_pIC50	0.0392156862745098
O14684_pIC50	P19793_pIC50	0.2905982905982906
O14684_pIC50	P21397_pKi	0.2920353982300885
O14684_pIC50	P21728_pEC50	0.052083333333333336
O14684_pIC50	P22894_pKi	0.2169811320754717
O14684_pIC50	P24530_pKi	0.21212121212121213
O14684_pIC50	P25929_pIC50	0.16831683168316833
O14684_pIC50	P28715_pIC50	0.14432989690721648
O14684_pIC50	P29274_pEC50	0.08653846153846154
O14684_pIC50	P30411_pKd	0.07476635514018691
O14684_pIC50	P30531_pIC50	0.12871287128712872
O14684_pIC50	P30556_pIC50	0.23931623931623933
O14684_pIC50	P33527_pIC50	0.1782178217821782
O14684_pIC50	P35372_pEC50	0.31932773109243695
O14684_pIC50	P39748_pIC50	0.22549019607843138
O14684_pIC50	P39900_pKi	0.23300970873786409
O14684_pIC50	P40763_pKi	0.20192307692307693
O14684_pIC50	P41586_pIC50	0.12745098039215685
O14684_pIC50	P41968_pKi	0.26126126126126126
O14684_pIC50	P42574_pIC50	0.3333333333333333
O14684_pIC50	P47901_pKi	0.2222222222222222
O14684_pIC50	P49146_pEC50	0.020833333333333332
O14684_pIC50	P49238_pKi	0.04504504504504504
O14684_pIC50	P49327_pIC50	0.16326530612244897
O14684_pIC50	P49768_pEC50	0.050505050505050504
O14684_pIC50	P53609_pIC50	0.19811320754716982
O14684_pIC50	P55055_pIC50	0.168
O14684_pIC50	P62937_pIC50	0.08421052631578947
O14684_pIC50	P62942_pIC50	0.11224489795918367
O14684_pIC50	P78536_pIC50	0.4357142857142857
O14684_pIC50	P98170_pIC50	0.1619047619047619
O14684_pIC50	Q00796_pIC50	0.08080808080808081
O14684_pIC50	Q04760_pKi	0.07
O14684_pIC50	Q05586_pIC50	0.297029702970297
O14684_pIC50	Q07817_pIC50	0.14705882352941177
O14684_pIC50	Q13093_pIC50	0.09900990099009901
O14684_pIC50	Q13258_pKi	0.125
O14684_pIC50	Q13946_pIC50	0.10101010101010101
O14684_pIC50	Q15722_pKi	0.1326530612244898
O14684_pIC50	Q15746_pIC50	0.1485148514851485
O14684_pIC50	Q16602_pIC50	0.2828282828282828
O14684_pIC50	Q16790_pIC50	0.08247422680412371
O14684_pIC50	Q8IU80_pKi	0.061224489795918366
O14684_pIC50	Q99500_pIC50	0.09615384615384616
O14684_pIC50	Q9GZT9_pIC50	0.2222222222222222
O14684_pIC50	Q9H228_pIC50	0.10891089108910891
O14684_pIC50	Q9H244_pKi	0.2109375
O14684_pIC50	Q9HAZ1_pIC50	0.20909090909090908
O14684_pIC50	Q9HBH1_pIC50	0.14432989690721648
O14684_pIC50	Q9HC97_pEC50	0.07272727272727272
O14684_pIC50	Q9NYA1_pIC50	0.18181818181818182
O14684_pIC50	Q9Y239_pEC50	0.03389830508474576
O14684_pIC50	Q9Y5N1_pIC50	0.15
O43614_pEC50	O60341_pIC50	0.1111111111111111
O43614_pEC50	O75469_pEC50	0.0
O43614_pEC50	O94925_pIC50	0.01818181818181818
O43614_pEC50	O96017_pIC50	0.038461538461538464
O43614_pEC50	P00374_pKi	0.045454545454545456
O43614_pEC50	P00519_pKi	0.013888888888888888
O43614_pEC50	P00749_pIC50	0.031746031746031744
O43614_pEC50	P03372_pIC50	0.02830188679245283
O43614_pEC50	P03956_pKi	0.044444444444444446
O43614_pEC50	P04054_pIC50	0.03333333333333333
O43614_pEC50	P07477_pKi	0.04
O43614_pEC50	P07900_pKd	0.02127659574468085
O43614_pEC50	P07947_pIC50	0.0
O43614_pEC50	P08908_pIC50	0.04
O43614_pEC50	P09237_pIC50	0.0
O43614_pEC50	P09871_pKi	0.0
O43614_pEC50	P09874_pEC50	0.029411764705882353
O43614_pEC50	P10323_pIC50	0.045454545454545456
O43614_pEC50	P10415_pKi	0.03636363636363636
O43614_pEC50	P10721_pKi	0.0
O43614_pEC50	P10826_pKi	0.0
O43614_pEC50	P11142_pIC50	0.0
O43614_pEC50	P11309_pKi	0.0
O43614_pEC50	P11387_pIC50	0.0
O43614_pEC50	P11473_pIC50	0.0
O43614_pEC50	P13726_pIC50	0.0
O43614_pEC50	P16109_pIC50	0.017241379310344827
O43614_pEC50	P16581_pIC50	0.0
O43614_pEC50	P17706_pIC50	0.0
O43614_pEC50	P17931_pKd	0.0
O43614_pEC50	P18858_pIC50	0.0
O43614_pEC50	P19793_pIC50	0.03389830508474576
O43614_pEC50	P21397_pKi	0.01818181818181818
O43614_pEC50	P21728_pEC50	0.0
O43614_pEC50	P22894_pKi	0.05405405405405406
O43614_pEC50	P24530_pKi	0.0
O43614_pEC50	P25929_pIC50	0.07692307692307693
O43614_pEC50	P28715_pIC50	0.05
O43614_pEC50	P29274_pEC50	0.09523809523809523
O43614_pEC50	P30411_pKd	0.0
O43614_pEC50	P30531_pIC50	0.09090909090909091
O43614_pEC50	P30556_pIC50	0.018518518518518517
O43614_pEC50	P33527_pIC50	0.07407407407407407
O43614_pEC50	P35372_pEC50	0.015151515151515152
O43614_pEC50	P39748_pIC50	0.06060606060606061
