fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
P09874_pEC50	23	11	35	27	24	20	43	29	28	10	67	34	24	8	45	16	22	15	24	16	26	22	51	32	26	5	63	22	10	1	90	76
P09923_pEC50	10	5	22	11	14	8	18	10	8	2	14	4	4	2	9	3	11	4	32	13	13	5	25	11	18	8	21	10	11	6	27	9
P0DMS8_pEC50	6	3	8	4	8	5	24	7	8	2	26	4	3	0	19	2	5	3	7	3	11	4	28	13	4	1	65	5	3	1	69	16
P10828_pKi	9	5	15	7	7	5	7	5	14	5	28	10	16	5	24	9	14	4	29	8	4	4	28	14	12	3	20	7	8	3	11	3
P11216_pKi	14	6	17	9	10	4	14	6	2	1	6	1	5	2	5	3	16	2	31	16	21	5	36	19	2	1	5	1	2	1	4	1
P11229_pKi	35	29	60	46	55	34	79	68	38	20	64	41	34	21	73	60	39	29	73	53	61	46	131	89	62	42	71	57	53	30	89	73
P11511_pIC50	38	22	70	26	59	54	77	59	36	21	71	37	57	31	68	44	64	57	64	57	68	62	72	62	44	32	127	49	58	38	158	62
P15121_pIC50	24	19	30	20	34	28	69	40	37	20	48	25	43	17	60	42	46	33	57	46	64	45	64	45	41	25	59	42	43	30	63	36
P16083_pIC50	22	19	27	19	25	21	35	21	21	9	48	16	21	9	35	11	30	21	48	36	22	16	48	28	21	11	43	13	31	13	43	21
P18084_pIC50	29	22	34	29	31	28	39	28	26	9	58	36	46	23	55	34	18	13	72	61	55	24	61	57	34	17	75	40	31	8	71	35
P18564_pIC50	27	20	27	20	26	17	26	17	2	1	59	17	2	1	40	10	23	14	31	23	22	12	36	28	3	0	17	1	1	0	3	1
P20309_pKi	37	33	62	41	46	29	75	59	36	14	63	36	57	31	83	68	39	29	65	45	45	34	73	45	49	28	141	93	86	42	127	105
P20648_pIC50	23	14	52	36	17	8	33	21	16	4	30	9	18	5	59	26	25	20	54	31	25	17	44	32	15	4	101	83	14	4	117	94
P20813_pIC50	15	6	19	6	9	3	19	7	3	3	3	3	5	3	5	3	17	11	26	18	14	8	14	8	4	1	32	5	4	1	9	1
P21980_pIC50	20	17	26	20	23	20	29	21	8	5	51	40	10	5	42	18	27	9	47	31	30	22	48	27	26	11	30	19	22	15	42	18
P22748_pKi	38	28	55	34	36	33	83	57	38	25	75	42	37	22	67	37	56	39	84	67	54	24	93	61	35	30	123	99	35	28	120	98
P23921_pIC50	13	9	17	12	14	9	15	9	0	0	9	0	1	0	5	0	15	7	24	8	11	4	24	11	3	1	14	2	3	1	5	3
P24557_pIC50	30	16	40	24	28	17	58	43	14	9	31	9	18	10	44	17	37	30	135	46	43	33	70	53	30	13	73	35	37	22	66	34
