fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
P04150_pEC50	0.310687	0.211181	0.248792	0.284802	0.3659985	0.179497	0.3659985	0.179497	0.275673	0.247213	0.287916	0.2850955	0.407575	0.3974885	0.407575	0.3974885	0.2520335	0.200008	0.1413215	0.2287125	0.3621935	0.289298	0.124306	0.362945	0.1416345	0.121333	0.231728	0.186454	0.2117725	0.15038	0.2117725	0.15038
P04150_pIC50	0.5176905	0.5146855	0.539168	0.519517	0.5263475	0.5141765	0.538589	0.5270765	0.5087585	0.5004825	0.527611	0.533463	0.5076205	0.4847145	0.5392355	0.527743	0.456485	0.4432685	0.5215065	0.4675215	0.5010565	0.471928	0.52849	0.5191105	0.4832255	0.379275	0.499653	0.4867295	0.483206	0.4546445	0.5254655	0.5143245
P04150_pKi	0.5068795	0.505292	0.5202305	0.522992	0.5434395	0.53524	0.553197	0.56105	0.484992	0.446055	0.480665	0.446055	0.518468	0.487172	0.5238645	0.506884	0.5001975	0.4994735	0.519679	0.530011	0.5298945	0.5332325	0.543024	0.5428935	0.4877875	0.3886635	0.4770125	0.477152	0.521569	0.380932	0.548971	0.5348475
P05106_pIC50	0.4814645	0.4780075	0.505546	0.507451	0.517727	0.4995645	0.51633	0.517727	0.4505735	0.3943325	0.4830295	0.5049855	0.4962035	0.4666785	0.50744	0.4973725	0.464438	0.481339	0.491495	0.465057	0.482117	0.441582	0.482882	0.480121	0.4620035	0.4014765	0.455479	0.468164	0.3978505	0.361568	0.4726065	0.406872
P06756_pIC50	-0.5013225	-0.7309715	-0.2256075	-0.4527055	-0.335209	-0.4761795	-0.377697	-0.4761795	-0.2735735	-0.6735675	-0.270185	-0.3531145	-0.4742285	-0.7629295	-0.4742285	-0.7629295	-0.9168295	-0.90303	-0.659732	-0.712996	-0.579811	-0.5316175	-0.562175	-0.579811	-0.5739955	-0.97256	-0.6230705	-1.3032385	-1.2753595	-1.2950685	-0.576619	-1.670407
P06870_pKi	-0.896023	-1.8984385	-0.732447	-0.896023	-0.9816965	-0.5984765	-0.9816965	-0.5984765	-1.481611	-1.6206235	-1.2380365	-1.377883	-2.7696255	-1.6692565	-3.181523	-1.631496	-0.2711315	-0.272369	-0.2711315	-0.272369	-0.709504	-0.0906565	-0.790334	-0.0906565	-1.2459325	-1.2459325	-1.492894	-1.2459325	-1.2384405	-1.2384405	-2.890677	-1.2384405
P07947_pIC50	0.350836	0.255765	0.363144	0.255765	0.347976	0.1819105	0.347976	0.1819105	0.017723	0.017723	0.017723	0.017723	0.1866875	0.2094155	0.1866875	0.2094155	0.1299165	-0.1459205	0.1074865	-0.1459205	0.389001	-0.41426	0.3565295	-0.1520165	-0.080575	-0.2034815	-0.0954815	-0.2071065	-0.0487425	-0.369878	0.2363605	-0.369878
P07948_pIC50	0.0124645	-0.1475775	0.0026715	-0.122727	-0.1536285	-0.1498425	-0.008739	-0.1536285	-0.053517	-0.135549	0.085078	0.022343	-0.152927	-0.210607	0.109315	-0.106348	-0.0420715	-0.0797695	-0.0157155	-0.099185	-0.130376	-0.104359	-0.041518	-0.043109	-0.044232	-0.1093075	0.025828	0.010178	-0.074248	-0.104359	-0.052052	-0.074248
P08069_pIC50	0.6161205	0.6141555	0.627689	0.6246135	0.6398545	0.644125	0.6398545	0.644125	0.658082	0.6261105	0.643337	0.61093	0.6426085	0.6123315	0.644396	0.6123315	0.5660235	0.578594	0.5874915	0.547179	0.582592	0.5589775	0.6201225	0.606394	0.5780785	0.56283	0.599545	0.564138	0.594395	0.547078	0.603185	0.553456
P08172_pIC50	0.6368905	0.6383815	0.6468325	0.6368905	0.658374	0.654172	0.6941	0.675683	0.6013095	0.5410905	0.6484395	0.580808	0.6561775	0.6154185	0.6363045	0.60698	0.6323315	0.5887485	0.610714	0.6330885	0.6310335	0.6545465	0.6535175	0.6380535	0.465075	0.3449425	0.628299	0.5732395	0.637027	0.4447325	0.674732	0.6419135
P08238_pEC50	0.170115	0.1693995	0.170115	0.1693995	0.245589	0.064075	0.152477	0.245589	0.085896	0.04965	0.0839685	0.07402	0.096323	0.043067	0.1127965	0.1196965	0.085395	0.0434175	0.0921275	0.0434175	0.150419	0.0987745	0.1086995	0.0987745	-0.0773995	-0.0897735	0.1099345	-0.0897735	-0.0575105	0.0274915	0.0859815	0.0402595
P08588_pIC50	0.626195	0.6153805	0.6484085	0.6371335	0.691612	0.679693	0.693543	0.679693	0.64949	0.6528435	0.6454015	0.6467985	0.69696	0.653251	0.6796725	0.693074	0.575832	0.587862	0.591173	0.58502	0.6046995	0.5675025	0.589315	0.6158675	0.553844	0.5305485	0.564968	0.5365855	0.530118	0.5783975	0.597621	0.573192
P08709_pKi	0.174332	0.1771395	0.126738	0.1871255	0.185796	0.1032545	0.185796	0.1032545	0.120973	0.063113	0.120973	0.063113	0.2305395	0.2376065	0.2305395	0.2376065	0.1207625	0.144846	0.095194	0.144846	0.1403615	0.1913035	0.176752	0.210792	0.1457955	-0.0002355	0.20123	0.1474455	0.2210205	0.100985	0.161938	0.158134
P09874_pKi	0.4909215	0.459169	0.4824035	0.454829	0.4832535	0.468544	0.471855	0.4730405	0.4785105	0.3600795	0.4816185	0.491859	0.4666305	0.389287	0.5172685	0.5021815	0.4512995	0.3891285	0.427633	0.4512995	0.4314855	0.437182	0.4449775	0.4441635	0.3614775	0.1927315	0.4779695	0.3628765	0.40749	0.3668285	0.4777115	0.369541
P0DMS8_pEC50	-0.391908	-0.844306	-0.3148415	-0.844306	-0.7635175	-1.0852195	-0.9290035	-0.6509585	-0.50333	NA	-0.543351	-1.189704	-0.703223	NA	-0.4687075	NA	-1.0871255	-1.013915	-1.057332	-1.005397	-0.995889	-1.300305	-1.6656905	-1.312917	-0.9813785	-0.7681375	-0.813016	-0.7681375	-1.09206	-1.616365	-0.388988	-1.616365
P0DMS8_pKi	0.541829	0.544814	0.5359465	0.5431225	0.5301565	0.531201	0.551249	0.5378225	0.5434915	0.5372685	0.535158	0.5372685	0.525859	0.509825	0.551513	0.536936	0.52167	0.5186715	0.518842	0.5236545	0.500499	0.4917435	0.5131415	0.4994315	0.5325825	0.5351015	0.5371725	0.5351015	0.5319175	0.519058	0.531868	0.5337155
P10276_pEC50	-1.198674	-0.578248	-0.5715365	-0.924928	-0.547712	-0.540881	-0.528104	-1.0576795	-0.481958	NA	-0.8540995	-1.0324355	-0.4101605	NA	-1.1562005	NA	-1.123084	-1.265691	-0.9872355	-1.0619625	-0.8147875	-1.072581	-0.9580675	-1.072581	-1.217502	-1.3786525	-1.217502	-1.3786525	-1.0895885	-1.050333	-1.0895885	-1.050333
P10415_pEC50	0.4210845	0.438377	0.426203	0.4335115	0.4052485	0.407465	0.4817505	0.4352145	0.402214	0.465215	0.3601115	0.465215	0.393824	0.467241	0.349497	0.467241	0.377133	0.3659635	0.4286495	0.3711835	0.3420055	0.3895415	0.3601265	0.341294	0.394721	0.2170915	0.450687	0.3837005	0.4151905	0.3374445	0.4043105	0.332414
P10721_pIC50	0.3709325	0.336717	0.371767	0.3513705	0.3588005	0.3711495	0.395132	0.397269	0.322892	0.391002	0.322892	0.391002	0.3825015	0.395637	0.4005755	0.3825775	0.2369655	0.0926145	0.2516705	0.2464425	0.3337545	0.2536025	0.33693	0.3275005	0.2953335	0.2173355	0.2624605	0.293584	0.3196825	0.299371	0.315992	0.318636
P11309_pIC50	0.6483425	0.6365645	0.636782	0.6483425	0.6828305	0.679547	0.6793935	0.6779095	0.6701515	0.6581195	0.6329955	0.6581195	0.6584435	0.6626335	0.6828435	0.68194	0.635625	0.6181005	0.645093	0.639337	0.643108	0.5938045	0.6606685	0.6495525	0.6204525	0.5973095	0.632646	0.623059	0.595438	0.586121	0.64078	0.5952665
P11388_pIC50	0.3690225	0.3660365	0.3253325	0.3690225	0.5056535	0.435472	0.529829	0.5088465	0.3833665	0.3368855	0.3290615	0.3614265	0.4802325	0.4121515	0.493964	0.484721	0.392885	0.4249915	0.350802	0.3842795	0.2931345	0.40437	0.4804615	0.2931345	0.1658085	0.3280325	0.152177	0.3280325	0.367874	0.169557	0.367874	0.169557
P11511_pIC50	0.5240325	0.5222695	0.517294	0.532322	0.511213	0.512305	0.518855	0.5117555	0.5034195	0.516254	0.500729	0.523405	0.5096125	0.497947	0.5507085	0.529264	0.4966185	0.475932	0.4951915	0.5045235	0.4761275	0.4681795	0.503637	0.503432	0.525347	0.429011	0.492614	0.5095995	0.4739665	0.4283455	0.499354	0.5005605
P15085_pKi	-1.5954325	-1.3615935	-1.5954325	-1.3615935	-1.3109555	-1.3109555	-2.858133	-1.3109555	-1.3871155	NA	-1.3871155	NA	-1.3109555	-1.3109555	-1.3109555	-1.3109555	-1.863841	-1.9980165	-1.863841	-1.9980165	-2.5514865	-1.0300595	-2.5514865	-1.0300595	-1.9265545	-1.032528	-1.798808	-1.032528	-1.167165	-1.0529295	-1.347177	-1.0529295
P19320_pIC50	0.3610095	0.3332645	0.40551	0.3270135	0.2906895	0.311871	0.3794745	0.2906855	0.348071	0.3238335	0.2383195	0.32155	0.361579	0.364538	0.361579	0.364538	0.2379805	0.2008665	0.256526	0.3202225	0.180194	0.3462425	0.228806	0.069911	0.2454335	0.187673	0.2454335	0.187673	0.3462425	0.3462425	0.3462425	0.3462425
P21452_pKi	0.6797045	0.6764475	0.68258	0.6797045	0.6989435	0.696748	0.6989435	0.696748	0.7024755	0.708346	0.675734	0.708346	0.697665	0.714586	0.712353	0.7133115	0.628946	0.6315635	0.628946	0.6315635	0.6731205	0.6314425	0.6711935	0.6657245	0.454852	0.452133	0.6346	0.454852	0.645493	0.5996615	0.6572805	0.6407865
P21554_pKi	0.4717425	0.45921	0.470124	0.4690535	0.4619455	0.461274	0.4973295	0.495795	0.4186795	0.395615	0.4558915	0.456354	0.4865135	0.486693	0.49841	0.484853	0.4498575	0.4467795	0.449588	0.449067	0.467108	0.466354	0.4728995	0.4652105	0.444404	0.334315	0.4673325	0.4557185	0.471758	0.445639	0.4799335	0.4666005
P21730_pIC50	0.199999	-0.006399	0.265965	0.2067285	0.353217	0.284295	0.3200745	0.3371465	0.274224	0.1143695	0.3087345	0.2756625	0.302577	0.2579915	0.332834	0.304066	0.2652335	0.1260215	0.231983	0.247983	0.2902965	0.311527	0.300648	0.33214	0.0090205	0.0351295	0.2917935	0.214183	0.108086	0.0336	0.3606085	0.395391
P21731_pKd	0.4062175	0.329324	0.4514695	0.4062175	0.4198705	0.3801705	0.3994045	0.4198705	0.4471125	0.4574005	0.4500965	0.4499835	0.46086	0.4119935	0.4547155	0.4404005	0.420767	0.3952075	0.434817	0.444146	0.3094435	0.2862755	0.395524	0.4004625	0.273967	0.1912235	0.398914	0.194309	0.284082	0.1999285	0.347913	0.209623
P21918_pKi	0.467105	0.460534	0.47568	0.4386135	0.4830615	0.419814	0.539691	0.4758005	0.4384075	0.437315	0.436976	0.437315	0.479323	0.474816	0.5070105	0.4878385	0.4280745	0.416418	0.4192355	0.416418	0.4373455	0.448726	0.43837	0.445788	0.4374295	0.4356075	0.423167	0.4374295	0.4525815	0.452763	0.4525815	0.452763
P22748_pKi	0.3956945	0.286604	0.3785375	0.40193	0.436837	0.3912975	0.436837	0.3912975	0.3699125	0.258088	0.3848425	0.367417	0.3928215	0.2905885	0.391147	0.3974975	0.352758	0.2989145	0.358428	0.353875	0.3772855	0.2014135	0.3225285	0.329038	0.2913125	0.0132465	0.344654	0.0132465	0.373597	0.1214325	0.336376	0.185627
P23458_pIC50	0.17446	0.163915	0.203823	0.17446	0.1954925	0.212927	0.208389	0.1914175	0.1990905	0.1796855	0.2367295	0.231302	0.23082	0.2232575	0.3006285	0.2113885	0.0572775	0.0499255	0.1441345	0.0572775	0.1002635	0.0828095	0.1918445	0.1859205	0.074988	0.0455205	0.091698	0.0688755	0.063422	-0.0264005	0.2741785	0.0965715
P24387_pIC50	-0.3679265	-0.4962235	-0.3416165	-0.355725	-0.2756045	-0.2429495	-0.277025	-0.2314745	-0.475785	-0.1547515	-0.289301	-0.475785	-0.2331235	-0.0710285	-0.3569965	-0.143715	-0.369661	-0.3625005	-0.363069	-0.389954	-0.3290915	-0.1910235	-0.2057005	-0.4013655	-0.4960715	-0.486385	-0.419231	-0.498371	-0.3309175	-0.259279	-0.3309175	-0.3236
P24941_pKd	-0.3298055	-0.183199	-0.2562545	-0.1007275	-0.5728015	-0.202901	-0.534414	-0.227747	-0.292124	-0.339163	-0.340714	-0.4267505	-0.479117	-0.5264085	-0.479117	-0.5264085	-0.2331915	-0.247458	-0.1376395	-0.3423915	-1.542714	-1.4898855	-1.542714	-1.4898855	-0.768512	-0.425136	-0.768512	-0.425136	-1.040666	-0.591635	-0.144235	-0.591635
P25116_pIC50	0.5138825	0.5255525	0.5138825	0.5255525	0.5470805	0.5539805	0.5470805	0.5539805	0.4951735	0.485262	0.5200255	0.5038565	0.529393	0.5280315	0.517098	0.5280315	0.4755475	0.4511525	0.502193	0.4817035	0.5245215	0.5239265	0.5234025	0.5236325	0.4765375	0.4627035	0.4817235	0.4806475	0.538493	0.5004475	0.528491	0.5289275
P25774_pIC50	0.549104	0.5572695	0.5709535	0.567377	0.5643515	0.5229185	0.5935615	0.5671805	0.561864	0.5307155	0.5777215	0.580051	0.541828	0.520995	0.5870155	0.590428	0.5220305	0.4939515	0.552554	0.5250565	0.551938	0.523208	0.5500265	0.5506355	0.503402	0.487661	0.5432955	0.537174	0.504471	0.4792175	0.5597035	0.5332365
P28222_pIC50	0.183511	0.154145	0.222394	0.2365475	0.206503	0.1712445	0.1675625	0.2087075	0.1932155	0.14471	0.199089	0.192979	0.114175	-0.1148265	0.11878	0.116839	-0.002343	0.017581	-0.0146655	0.018345	0.0390885	0.0376405	-0.0036995	0.0574965	-0.2035565	-0.1164155	0.042633	0.088733	-0.25162	-0.1024925	0.096864	-0.25162
P28336_pIC50	-0.432067	-0.797195	-0.2856285	-0.5113615	-1.497957	-1.236049	-1.1406505	-1.3397875	-0.483375	-0.570878	-0.249708	-0.570878	-1.2553305	-0.825521	-0.903473	-1.236049	-0.9224075	-0.902767	-0.9224075	-0.902767	-1.024407	-1.006097	-1.024407	-1.006097	-0.855444	-1.1617475	-0.4695065	-1.1395775	-0.9475575	-0.9475575	-1.9183615	-0.9567225
P29375_pIC50	-0.5525435	-0.279956	-0.5775005	-0.5525435	-0.9096205	-1.056817	-0.130272	-0.434888	-0.7454985	-1.601574	-0.4162465	-0.2848495	-0.6145725	-1.6416745	-0.1811865	-0.329156	-1.715966	-1.382034	-0.756499	-1.8573095	-0.7055265	-0.507533	-0.7745155	-0.5230205	-1.9864005	-2.528612	-1.023866	-2.478094	-2.8251195	-2.8258605	-0.7814095	-1.8032605
P30559_pEC50	-0.050827	-0.028602	-0.075366	-0.1056965	-0.145803	-0.1462995	-0.145803	-0.1462995	-0.046922	-0.036994	-0.0598145	-0.036994	-0.1566345	-0.2311135	-0.1566345	-0.2311135	-0.1427605	-0.3019475	-0.1688835	-0.1651615	-0.151828	-0.1542265	-0.2050135	-0.1542265	-0.2754745	-0.4464415	-0.3087495	-0.2754745	-0.259841	-0.1820045	-0.259841	-0.1820045
P30872_pIC50	0.4318155	0.3341055	0.4044615	0.4318155	0.4208875	0.3524895	0.4548505	0.3524895	0.416836	0.37259	0.440699	0.41785	0.476565	0.4632175	0.4670995	0.4616025	0.3082865	0.2718505	0.386169	0.3020605	0.281021	0.2459025	0.375123	0.3792365	0.275627	0.2953195	0.284813	0.275627	0.2179925	0.2583015	0.3886405	0.2159975
P31639_pEC50	0.3988865	0.3929075	0.4441685	0.3988865	0.4029905	0.379666	0.3919755	0.379666	0.385756	0.3929075	0.4031935	0.3929075	0.3904255	0.3264005	0.3904255	0.3264005	0.0155135	0.117892	0.392546	0.4044365	0.2685625	0.186937	0.397293	0.420385	0.331968	-0.165741	0.3723345	0.448336	0.3366005	-0.145839	0.3273365	0.3366005
P31639_pIC50	0.488383	0.4581665	0.478615	0.461371	0.5229005	0.530471	0.527691	0.526006	0.4775545	0.4775545	0.469399	0.4775545	0.530824	0.5312475	0.5373345	0.5327215	0.4998515	0.486494	0.4821365	0.4947545	0.5021795	0.445142	0.509058	0.4546035	0.4812885	0.079175	0.4692355	0.480032	0.511634	0.4401335	0.510345	0.506135
P31941_pIC50	0.195989	0.1869065	0.2151965	0.213192	0.252458	0.2293235	0.2262325	0.252458	0.011815	0.148686	0.2051765	0.1637255	0.2045995	0.1650185	0.263085	0.253197	0.0539825	0.0168555	0.1281095	0.0539825	0.0743415	0.0480175	0.1411275	0.082489	0.1612105	0.0815845	0.169036	0.087966	0.1377095	0.078735	0.1821755	0.1552165
P32238_pIC50	0.7307495	0.7195725	0.727316	0.7195725	0.742637	0.724977	0.742133	0.7481005	0.697207	0.6392995	0.7196275	0.6392995	0.714826	0.7121405	0.7165595	0.7121405	0.7409135	0.6932345	0.729134	0.7338585	0.730081	0.7457065	0.7310005	0.7401275	0.679233	0.625963	0.7064775	0.648984	0.6494885	0.625932	0.6765655	0.669013
P33032_pKi	0.7355145	0.727447	0.728828	0.729129	0.742692	0.71952	0.7353825	0.75191	0.744067	0.6574265	0.7486345	0.7319365	0.7569805	0.7371215	0.7593775	0.7371215	0.741205	0.7301905	0.7340505	0.738973	0.748428	0.7502295	0.7395695	0.7446195	0.6445845	0.665827	0.689126	0.665827	0.6983445	0.690066	0.693269	0.6858
P33261_pKi	-0.3846415	-0.351156	-0.516723	-0.2854525	-0.3703815	-0.266614	-0.418529	-0.266614	-0.2854525	-0.8493575	-0.2854525	-0.8493575	-0.356147	-0.953004	-0.356147	-0.953004	-1.0819245	-0.658166	-0.3739215	-0.706814	-1.3828355	-0.5138325	-0.653532	-1.200001	-0.381688	-1.112194	-0.381688	-1.112194	-0.4987705	-0.611271	-0.271672	-0.4987705
P34903_pKi	0.446416	0.433126	0.4371275	0.433126	0.4359285	0.41786	0.4887395	0.458387	0.443307	0.43107	0.4437605	0.4365605	0.4242165	0.418037	0.445541	0.418037	0.449054	0.413244	0.4741415	0.5011845	0.454212	0.412398	0.49481	0.4689635	0.4363035	0.397757	0.4778055	0.469164	0.497825	0.4672085	0.4789825	0.4771985
P34995_pIC50	0.385434	0.411454	0.444128	0.385434	0.426537	0.448333	0.479241	0.427657	0.3898215	0.375839	0.427193	0.4512405	0.430509	0.452154	0.4434865	0.452154	0.435973	0.377402	0.458426	0.454	0.459058	0.3981215	0.4657495	0.480921	0.3967685	0.3912155	0.419594	0.3979475	0.4534315	0.3708565	0.428983	0.3980105
