N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
O00311_pIC50	156	40	166	0.82
O00329_pIC50	992	248	166	0.91071
O00408_pIC50	260	66	166	0.9719
O00519_pIC50	708	178	166	0.8626
O00519_pKi	249	63	166	0.92986
O00763_pIC50	340	85	166	0.833
O00767_pIC50	302	76	166	0.82955
O14672_pIC50	478	120	166	0.98676
O14684_pIC50	545	137	166	0.84867
O14746_pEC50	88	22	166	0.84711
O14746_pIC50	400	100	166	0.84667
O14757_pEC50	92	24	166	0.73571
O14757_pIC50	1314	329	166	0.81927
O14757_pKi	111	28	166	0.99242
O14842_pEC50	606	152	166	0.84299
O14920_pIC50	720	180	166	0.92051
O14939_pIC50	152	39	166	0.85694
O14965_pIC50	1684	421	166	0.85263
O14965_pKi	131	33	166	0.78704
O15054_pIC50	44	12	166	0.74286
O15111_pIC50	235	59	166	0.80787
O15120_pIC50	87	22	166	0.69792
O15164_pIC50	46	12	166	0.94444
O15229_pIC50	86	22	166	0.9
O15379_pIC50	532	134	166	0.91317
O15382_pIC50	77	20	166	0.77
O15530_pIC50	499	125	166	0.981
O15552_pIC50	108	28	166	0.60204
O43193_pEC50	84	22	166	0.50588
O43193_pKi	60	15	166	0.61
O43318_pIC50	123	31	166	0.79545
O43353_pIC50	189	48	166	0.80958
O43451_pIC50	77	20	166	0.84615
O43497_pIC50	292	74	166	0.84405
O43526_pEC50	102	26	166	0.92121
O43570_pIC50	41	11	166	0.93333
O43570_pKd	44	12	166	0.63889
O43570_pKi	1364	342	166	0.95744
O43613_pEC50	107	27	166	0.95604
O43613_pIC50	471	118	166	0.85766
O43613_pKi	365	92	166	0.89598
O43614_pEC50	123	31	166	0.85714
O43614_pIC50	327	82	166	0.69863
O43614_pKd	51	13	166	0.7619
O43614_pKi	401	101	166	0.61795
O60218_pIC50	71	18	166	0.77922
O60341_pIC50	212	53	166	0.91667
O60341_pKi	138	35	166	0.87418
O60563_pIC50	127	32	166	0.90286
O60674_pIC50	1422	356	166	0.89194
O60674_pKi	238	60	166	0.84596
O60725_pIC50	185	47	166	0.92083
O60755_pIC50	135	34	166	0.62105
O60885_pIC50	444	112	166	0.89225
O60885_pKi	58	15	166	0.73214
O60911_pIC50	107	27	166	0.85227
O75116_pIC50	643	161	166	0.90699
O75164_pIC50	108	28	166	0.91176
O75173_pIC50	206	52	166	0.90391
O75460_pIC50	234	59	166	0.69365
O75469_pEC50	188	48	166	0.81829
O75762_pEC50	106	27	166	0.82418
O75762_pIC50	152	38	166	0.70028
O75907_pIC50	450	113	166	0.73154
O75908_pIC50	110	28	166	0.97661
O76074_pIC50	1140	286	166	0.90094
O94768_pIC50	48	12	166	0.81944
O94925_pIC50	361	91	166	0.97167
O95136_pIC50	140	35	166	0.96167
O95399_pEC50	48	12	166	0.88889
O95749_pIC50	94	24	166	0.58403
O95819_pIC50	60	15	166	1
O95822_pIC50	219	55	166	0.91725
O95977_pEC50	135	34	166	0.69444
O95977_pIC50	157	40	166	0.88867
O96017_pIC50	252	63	166	0.9375
P00374_pIC50	496	124	166	0.83603
P00374_pKi	200	50	166	0.9789
P00488_pIC50	79	20	166	0.88095
P00491_pIC50	82	21	166	0.8125
P00491_pKi	152	38	166	0.85574
P00519_pEC50	60	16	166	0.65079
P00519_pIC50	814	204	166	0.8823
P00519_pKd	56	14	166	0.45833
P00519_pKi	500	126	166	0.86193
P00533_pIC50	3434	859	166	0.91681
P00533_pKi	98	25	166	0.96154
P00734_pIC50	1376	344	166	0.86251
P00734_pKi	2671	668	166	0.93071
