N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
O00311_pIC50	156	40	166	0.57143
O00329_pIC50	992	248	166	0.75439
O00408_pIC50	260	66	166	0.92745
O00519_pIC50	708	178	166	0.82885
O00519_pKi	249	63	166	0.83542
O00763_pIC50	340	85	166	0.69316
O00767_pIC50	302	76	166	0.52727
O14672_pIC50	478	120	166	0.89583
O14684_pIC50	545	137	166	0.77517
O14746_pEC50	88	22	166	0.72727
O14746_pIC50	400	100	166	0.7422
O14757_pEC50	92	24	166	0.55714
O14757_pIC50	1314	329	166	0.6645
O14757_pKi	111	28	166	0.83333
O14842_pEC50	606	152	166	0.72672
O14920_pIC50	720	180	166	0.84375
O14939_pIC50	152	39	166	0.84583
O14965_pIC50	1684	421	166	0.67634
O14965_pKi	131	33	166	0.72917
O15054_pIC50	44	12	166	0.62857
O15111_pIC50	235	59	166	0.71123
O15120_pIC50	87	22	166	0.60417
O15164_pIC50	46	12	166	0.91667
O15229_pIC50	86	22	166	0.6
O15379_pIC50	532	134	166	0.84956
O15382_pIC50	77	20	166	0.8
O15530_pIC50	499	125	166	0.845
O15552_pIC50	108	28	166	0.64286
O43193_pEC50	84	22	166	0.57059
O43193_pKi	60	15	166	0.65
O43318_pIC50	123	31	166	0.69773
O43353_pIC50	189	48	166	0.62285
O43451_pIC50	77	20	166	0.67033
O43497_pIC50	292	74	166	0.75684
O43526_pEC50	102	26	166	0.81818
O43570_pIC50	41	11	166	0.9
O43570_pKd	44	12	166	0.5
O43570_pKi	1364	342	166	0.88372
O43613_pEC50	107	27	166	0.85714
O43613_pIC50	471	118	166	0.77119
O43613_pKi	365	92	166	0.84728
O43614_pEC50	123	31	166	0.67619
O43614_pIC50	327	82	166	0.5
O43614_pKd	51	13	166	0.53571
O43614_pKi	401	101	166	0.48964
O60218_pIC50	71	18	166	0.7013
O60341_pIC50	212	53	166	0.86207
O60341_pKi	138	35	166	0.7451
O60563_pIC50	127	32	166	0.92857
O60674_pIC50	1422	356	166	0.77774
O60674_pKi	238	60	166	0.68806
O60725_pIC50	185	47	166	0.85312
O60755_pIC50	135	34	166	0.50877
O60885_pIC50	444	112	166	0.82824
O60885_pKi	58	15	166	0.66964
O60911_pIC50	107	27	166	0.73864
O75116_pIC50	643	161	166	0.74585
O75164_pIC50	108	28	166	0.86364
O75173_pIC50	206	52	166	0.83125
O75460_pIC50	234	59	166	0.68095
O75469_pEC50	188	48	166	0.79167
O75762_pEC50	106	27	166	0.81319
O75762_pIC50	152	38	166	0.70455
O75907_pIC50	450	113	166	0.56192
O75908_pIC50	110	28	166	0.91813
O76074_pIC50	1140	286	166	0.80249
O94768_pIC50	48	12	166	0.75
O94925_pIC50	361	91	166	0.7925
O95136_pIC50	140	35	166	0.89167
O95399_pEC50	48	12	166	0.75
O95749_pIC50	94	24	166	0.46639
O95819_pIC50	60	15	166	0.91667
O95822_pIC50	219	55	166	0.77352
O95977_pEC50	135	34	166	0.60764
O95977_pIC50	157	40	166	0.79688
O96017_pIC50	252	63	166	0.84936
P00374_pIC50	496	124	166	0.69571
P00374_pKi	200	50	166	0.86851
P00488_pIC50	79	20	166	0.72619
P00491_pIC50	82	21	166	0.66875
P00491_pKi	152	38	166	0.84594
P00519_pEC50	60	16	166	0.54762
P00519_pIC50	814	204	166	0.82302
P00519_pKd	56	14	166	0.39583
P00519_pKi	500	126	166	0.54432
P00533_pIC50	3434	859	166	0.8352
P00533_pKi	98	25	166	0.875
P00734_pIC50	1376	344	166	0.78492
P00734_pKi	2671	668	166	0.86474
P00740_pKi	204	51	166	0.75268
P00742_pIC50	1560	391	166	0.78838
P00742_pKi	2644	661	166	0.83692
P00747_pIC50	261	66	166	0.7619
P00747_pKi	469	118	166	0.85518
P00748_pIC50	151	38	166	0.41667
P00748_pKi	146	37	166	0.77976
P00749_pIC50	196	50	166	0.9
P00749_pKi	684	171	166	0.84854
P00750_pIC50	93	24	166	0.6
P00750_pKi	224	57	166	0.57398
P00797_pIC50	2102	526	166	0.70094
