fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P13726_pIC50	0.856249	0.856249	0.933749	0.933749	0.745834	0.745834	0.749167	0.749167	0.856249	0.856249	0.924583	0.924583	0.844583	0.844583	0.924583	0.924583
P14222_pIC50	0.697444	0.727277	0.701777	0.701777	0.649611	0.691888	0.737668	0.736889	0.538722	0.691832	0.598057	0.701221	0.634111	0.668333	0.542779	0.698222
P16581_pIC50	0.914793	0.914793	0.917767	0.917767	0.913892	0.897066	0.911568	0.911568	0.910307	0.899092	0.915574	0.915574	0.895684	0.909914	0.861403	0.861403
P18054_pIC50	0.698957	0.697023	0.682797	0.690684	0.643661	0.669613	0.634197	0.650179	0.676487	0.677619	0.651277	0.646695	0.525209	0.619285	0.524821	0.567351
P18089_pKi	0.741751	0.746285	0.72427	0.72427	0.749171	0.74089	0.719002	0.724307	0.71979	0.728207	0.727936	0.726186	0.729829	0.724751	0.758538	0.745562
P18564_pIC50	0.61275	0.692499	0.642666	0.689001	0.588167	0.588167	0.612249	0.635833	0.743333	0.746416	0.675667	0.675667	0.676584	0.676584	0.684499	0.684499
P19320_pIC50	0.923666	0.923666	0.930334	0.930334	0.892	0.892	0.895833	0.888333	0.896168	0.896168	0.911166	0.911166	0.896168	0.896168	0.911166	0.911166
P19793_pIC50	0.683511	0.74235	0.667648	0.662766	0.674135	0.675744	0.664939	0.664939	0.69622	0.69622	0.695238	0.637352	0.683779	0.732738	0.695238	0.695238
P20309_pIC50	0.791625	0.803868	0.738837	0.768887	0.772708	0.77909	0.773123	0.774364	0.761705	0.774521	0.739398	0.736519	0.784387	0.786382	0.767603	0.767964
P21397_pIC50	0.733125	0.736869	0.72176	0.71848	0.733144	0.733545	0.707488	0.714272	0.715447	0.715519	0.698912	0.715245	0.714075	0.722398	0.691809	0.707574
P21397_pKi	0.8015	0.775393	0.795908	0.797217	0.813967	0.754317	0.745341	0.782316	0.740375	0.762892	0.733309	0.739834	0.753335	0.765217	0.736375	0.761674
