fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P20618_pIC50	0.829165	0.829165	0.829165	0.829165	0.829165	0.829165	0.768332	0.827223	0.821668	0.829999	0.647775	0.647775	0.658888	0.658888	0.669444	0.637778
P20839_pIC50	0.88625	0.88625	0.76875	0.786667	0.5	0.536666	0.5	0.5	0.861666	0.861666	0.742916	0.742916	0.673332	0.75	0.623334	0.737501
P21397_pIC50	0.865595	0.876982	0.835436	0.862554	0.868054	0.87695	0.856862	0.860454	0.874127	0.879022	0.852138	0.859385	0.878425	0.879504	0.857472	0.859768
P21452_pKi	0.912795	0.907748	0.89052	0.890348	0.899282	0.913188	0.874479	0.879389	0.883599	0.90756	0.887222	0.900949	0.876836	0.906017	0.883177	0.897863
P21453_pEC50	0.940683	0.941319	0.935934	0.938529	0.937079	0.943127	0.922795	0.938641	0.932644	0.940959	0.930245	0.941662	0.934894	0.939681	0.926208	0.943278
P23458_pIC50	0.849846	0.855395	0.860722	0.856419	0.776252	0.864359	0.739362	0.855071	0.83763	0.854818	0.816005	0.824047	0.839668	0.840414	0.82854	0.841381
P23946_pIC50	0.773472	0.765994	0.784779	0.786093	0.771406	0.771406	0.746517	0.777714	0.731808	0.775507	0.751667	0.726057	0.755175	0.759259	0.735805	0.756131
P25025_pKi	0.96652	0.965628	0.963286	0.970344	0.551057	0.94043	0.556706	0.963914	0.945841	0.948412	0.958326	0.959917	0.903658	0.904073	0.951652	0.951908
P28221_pKi	0.908394	0.907372	0.898631	0.897954	0.893455	0.914224	0.856061	0.902397	0.89543	0.896191	0.860776	0.863416	0.912544	0.916876	0.866021	0.89384
P28222_pKi	0.867474	0.864279	0.872003	0.862197	0.774004	0.87901	0.788614	0.864322	0.856611	0.869346	0.840333	0.829983	0.842115	0.868998	0.833742	0.848998
P28335_pEC50	0.738427	0.72581	0.720316	0.720316	0.636841	0.715492	0.584843	0.662219	0.705796	0.698307	0.678898	0.693284	0.657181	0.71353	0.591164	0.696843
P29274_pIC50	0.864629	0.876587	0.853542	0.863924	0.5	0.861995	0.5	0.755272	0.828598	0.804423	0.819534	0.84464	0.74633	0.79629	0.799671	0.793438
P29275_pKi	0.905461	0.906113	0.890912	0.891743	0.898639	0.908967	0.875546	0.89338	0.890394	0.889531	0.886281	0.885775	0.893189	0.894782	0.881474	0.890837
P29375_pIC50	0.958499	0.958499	0.952563	0.952563	0.805318	0.951729	0.7975	0.891012	0.962238	0.962238	0.958426	0.958426	0.953367	0.970314	0.893002	0.961578
P29466_pKi	0.868655	0.882622	0.887625	0.895855	0.860895	0.881229	0.849177	0.876282	0.893308	0.891612	0.884473	0.878603	0.890355	0.881655	0.857034	0.890635
P30291_pIC50	0.901275	0.901275	0.898928	0.898928	0.835356	0.833403	0.743091	0.872746	0.863341	0.863341	0.875762	0.875762	0.577456	0.676107	0.558801	0.633112
P30542_pIC50	0.851583	0.862425	0.841177	0.835167	0.832999	0.820507	0.811784	0.881872	0.768019	0.860173	0.847936	0.824988	0.819119	0.860639	0.608573	0.747748
P32238_pIC50	0.944847	0.950056	0.944632	0.950226	0.926428	0.933369	0.926954	0.94254	0.936269	0.938874	0.920177	0.913449	0.896554	0.91528	0.927567	0.927567
P34913_pIC50	0.873822	0.876069	0.877611	0.87776	0.847882	0.882284	0.827852	0.874454	0.858045	0.866301	0.848476	0.849968	0.822372	0.883216	0.83251	0.867816
P35236_pIC50	0.682808	0.643414	0.675277	0.680051	0.634702	0.560936	0.636156	0.659886	0.642246	0.644632	0.683264	0.63859	0.460139	0.493164	0.543173	0.649159
P35348_pKi	0.918513	0.916524	0.913313	0.909274	0.897355	0.911929	0.892821	0.912719	0.876332	0.879415	0.86337	0.88054	0.854609	0.893706	0.823478	0.88522
P35354_pIC50	0.858757	0.861548	0.834781	0.836496	0.857869	0.862676	0.824745	0.837615	0.860785	0.862646	0.833247	0.83587	0.854557	0.86243	0.815925	0.83622
P35368_pKi	0.824577	0.825434	0.827828	0.831278	0.808441	0.832209	0.791084	0.835872	0.833503	0.830432	0.817436	0.822196	0.812383	0.824692	0.770471	0.784168
P35462_pKi	0.878847	0.88248	0.852968	0.857273	0.846835	0.885571	0.832094	0.857436	0.868372	0.884958	0.847029	0.844666	0.859419	0.884341	0.838231	0.861688
P36544_pKi	0.914416	0.91667	0.878729	0.894507	0.898642	0.911765	0.872257	0.883632	0.915453	0.91629	0.89843	0.89843	0.872207	0.903352	0.873086	0.901727
P36888_pKd	0.865832	0.917353	0.880566	0.918273	0.882975	0.882975	0.88396	0.88396	0.859316	0.920326	0.851517	0.849701	0.860893	0.907947	0.850092	0.850092
P39900_pIC50	0.917266	0.918857	0.904835	0.909309	0.918827	0.917759	0.923796	0.926364	0.90293	0.914489	0.923755	0.912833	0.909198	0.91032	0.911252	0.910517
P41595_pKi	0.762738	0.756109	0.723404	0.725349	0.705645	0.756663	0.695108	0.682782	0.740251	0.743165	0.725934	0.719702	0.667279	0.752341	0.667614	0.719295
P42338_pIC50	0.830386	0.839913	0.839018	0.849091	0.820901	0.846249	0.81309	0.837247	0.819197	0.813026	0.842341	0.846563	0.811666	0.831222	0.790387	0.844165
P48730_pIC50	0.847028	0.847028	0.805916	0.805916	0.824111	0.817555	0.80564	0.80564	0.836388	0.856112	0.803694	0.766668	0.78475	0.791749	0.828333	0.828333
P49146_pKi	0.829795	0.785239	0.839333	0.839333	0.731649	0.798708	0.741384	0.841916	0.796379	0.80215	0.801038	0.801038	0.70274	0.709157	0.795928	0.795928
P49356_pIC50	0.886942	0.88342	0.862433	0.879543	0.85239	0.872238	0.854982	0.856169	0.852168	0.854673	0.856127	0.868113	0.869802	0.86829	0.85437	0.872409
P50281_pKi	0.822916	0.822916	0.872445	0.871805	0.834667	0.832277	0.806444	0.848389	0.810778	0.821418	0.795807	0.818057	0.796694	0.806138	0.857499	0.818527
P51452_pIC50	0.787405	0.820048	0.787599	0.795437	0.781371	0.817646	0.729498	0.785117	0.821632	0.830759	0.770524	0.789279	0.799182	0.811646	0.764788	0.786524
P51582_pEC50	0.729582	0.729582	0.734667	0.734667	0.619999	0.638166	0.585667	0.585667	0.618001	0.620416	0.508749	0.684918	NA	0.5445	NA	0.5
P51679_pIC50	0.843204	0.843204	0.850381	0.849055	0.808462	0.861087	0.786173	0.848431	0.845674	0.825501	0.845036	0.865198	0.781249	0.848941	0.804595	0.872264
P51955_pIC50	0.852487	0.817305	0.846625	0.850652	0.852627	0.809111	0.835876	0.82271	0.851391	0.864778	0.722179	0.826556	0.806	0.804695	0.803278	0.794931
P52732_pIC50	0.810195	0.845683	0.832527	0.838541	0.831169	0.848425	0.825485	0.824052	0.841288	0.845537	0.82411	0.821215	0.834939	0.852814	0.817889	0.832751
P53779_pIC50	0.886994	0.891783	0.900637	0.897525	0.889365	0.893446	0.891965	0.898221	0.889438	0.896015	0.898735	0.899968	0.897419	0.904952	0.879049	0.89852
P55263_pIC50	0.912998	0.912998	0.928439	0.917602	0.891473	0.903188	0.902207	0.917415	0.90732	0.90732	0.903138	0.908771	0.909631	0.900996	0.908297	0.904529
P56817_pIC50	0.901989	0.909903	0.887071	0.890753	0.903646	0.909922	0.879754	0.883083	0.898811	0.908318	0.88099	0.88444	0.886652	0.907216	0.865587	0.889317
P78536_pKi	0.864644	0.876442	0.7882	0.853276	0.53143	0.888305	0.5	0.758725	0.878646	0.880113	0.845503	0.850139	0.863571	0.858353	0.780783	0.815652
Q02083_pIC50	0.877415	0.867501	0.849166	0.809583	0.62233	0.772418	0.62233	0.627915	0.784999	0.82675	0.784583	0.77725	0.488667	0.788251	0.444334	0.579334
Q02127_pIC50	0.83488	0.832647	0.835069	0.836914	0.839146	0.847003	0.841539	0.838485	0.806631	0.809387	0.803776	0.803632	0.756526	0.819779	0.772723	0.822335
Q04759_pIC50	0.844039	0.848954	0.836405	0.848244	0.65799	0.849558	0.660407	0.83594	0.794346	0.887287	0.841594	0.86743	0.749314	0.867837	0.521857	0.761543
Q06187_pIC50	0.854277	0.894268	0.911034	0.907482	0.626889	0.89072	0.655736	0.709169	0.78996	0.8589	0.828329	0.825103	0.777765	0.771002	0.798809	0.845701
Q08881_pIC50	0.809987	0.812171	0.799609	0.810915	0.796256	0.772347	0.790196	0.793339	0.756831	0.795324	0.793845	0.791881	0.746902	0.771071	0.7227	0.772104
Q13258_pIC50	0.853906	0.83111	0.859803	0.847982	0.70844	0.840798	0.618728	0.823114	0.801009	0.796136	0.811627	0.822633	0.789762	0.816097	0.888459	0.888319
Q13464_pIC50	0.860356	0.873022	0.819734	0.851023	0.873587	0.865383	0.852132	0.846303	0.824596	0.824596	0.819632	0.815845	0.798243	0.824057	0.810919	0.812063
Q13490_pIC50	0.886045	0.883318	0.900249	0.925635	0.5	0.5	0.5	0.5	0.872636	0.872636	0.848	0.843227	0.881477	0.893205	0.875681	0.873954
Q13822_pKi	0.624375	0.754863	0.766945	0.748819	0.67743	0.752848	0.675207	0.717707	0.806944	0.806944	0.757986	0.757986	0.5	0.449999	0.5	0.6325
Q16581_pIC50	0.861031	0.831984	0.865793	0.832263	0.763373	0.838255	0.85131	0.893175	0.7823	0.791745	0.805397	0.825952	0.680355	0.680355	0.680355	0.680355
Q16832_pKd	0.827083	0.874584	0.786249	0.851667	0.771249	0.846249	0.786249	0.786249	0.670834	0.719165	0.714582	0.647085	0.598333	0.598333	0.598333	0.598333
Q5NUL3_pEC50	0.881983	0.870563	0.889012	0.882945	0.861278	0.874719	0.713814	0.88359	0.865243	0.849969	0.799697	0.839135	0.754648	0.856987	0.730777	0.83441
Q6V1X1_pKi	0.959641	0.959641	0.926649	0.940866	0.895334	0.918125	0.895334	0.899351	0.934432	0.934432	0.920368	0.920368	0.895334	0.924791	0.895334	0.927991
Q7Z2W7_pIC50	0.837604	0.848884	0.846752	0.846752	0.5	0.481249	0.5	0.5	0.875167	0.876706	0.865537	0.865537	0.738924	0.794132	0.773953	0.798223
Q7Z601_pEC50	0.819783	0.817521	0.826032	0.826032	0.5	0.5	0.5	0.5	0.802005	0.789722	0.776907	0.76512	0.606426	0.745616	0.606426	0.676844
Q8WUI4_pIC50	0.79239	0.78689	0.849305	0.858028	0.695277	0.866667	0.6725	0.703333	0.783056	0.783056	0.795612	0.7995	0.759527	0.872555	0.751888	0.860194
Q92731_pEC50	0.826469	0.837706	0.835145	0.838322	0.80297	0.847868	0.800884	0.831772	0.84074	0.851023	0.780475	0.82342	0.797478	0.858185	0.785496	0.82595
Q92769_pIC50	0.804084	0.814397	0.804362	0.805216	0.700795	0.801123	0.769324	0.80216	0.783307	0.798569	0.796945	0.809748	0.793855	0.803508	0.773212	0.80823
Q92847_pEC50	0.877348	0.868498	0.900827	0.891737	0.520077	0.90849	0.5	0.898066	0.859611	0.859611	0.887956	0.915194	0.86573	0.87437	0.838405	0.867925
Q92847_pKi	0.937369	0.934343	0.892289	0.892289	0.85516	0.905614	0.85516	0.921469	0.927972	0.929637	0.910237	0.926232	0.900754	0.929588	0.891193	0.939777
Q96S37_pIC50	0.714584	0.685278	0.675556	0.728473	0.756319	0.800903	0.743404	0.750346	0.744305	0.779377	0.7575	0.695555	0.752154	0.791043	0.743404	0.806667
Q99250_pIC50	0.832583	0.848334	0.790332	0.790332	0.659252	0.659252	0.659252	0.659252	0.826667	0.81275	0.819499	0.820666	0.536	0.536	0.745249	0.816001
Q99500_pIC50	0.9301	0.926465	0.933532	0.931799	0.920253	0.94895	0.914973	0.932283	0.943687	0.939881	0.934786	0.937899	0.91394	0.942744	0.920168	0.942588
Q99720_pIC50	0.883874	0.882841	0.866255	0.855188	0.8947	0.908483	0.886143	0.866358	0.795753	0.81885	0.833466	0.834118	0.78009	0.80716	0.753167	0.81291
Q99720_pKi	0.833742	0.8688	0.820918	0.843799	0.701376	0.869832	0.550307	0.834911	0.821777	0.836448	0.825	0.834832	0.67821	0.830618	0.69625	0.828975
Q9H5J4_pIC50	0.716844	0.732619	0.701428	0.696368	0.720476	0.662024	0.635417	0.635417	0.735773	0.779227	0.536071	0.772797	NA	NA	NA	NA
Q9UGN5_pIC50	0.73875	0.84375	0.7125	0.6975	0.5	0.6	0.5	0.6	0.72875	0.78875	0.46375	0.6675	NA	0.5	NA	NA
Q9UNQ0_pEC50	0.71325	0.789	0.7535	0.749	0.75425	0.74175	0.74925	0.74925	0.78	0.77625	0.73275	0.727	0.512	0.727	0.553	0.78125
Q9Y271_pKi	0.88883	0.88883	0.911965	0.911965	0.849167	0.849167	0.849167	0.849167	0.923255	0.923255	0.9025	0.9025	0.839603	0.880338	0.827282	0.843691
Q9Y5Y4_pIC50	0.692071	0.688698	0.717268	0.741398	0.65388	0.722571	0.656173	0.725919	0.724452	0.704725	0.730521	0.728073	0.590466	0.690796	0.576315	0.734336
