fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P51452_pIC50	25	55	12	63	30	73	18	69	37	52	19	31	25	62	17	25
P51582_pEC50	4	4	4	4	3	7	3	3	5	20	1	28	NA	1	NA	1
P51679_pIC50	24	24	26	37	24	64	22	65	16	20	30	37	21	48	15	78
P51955_pIC50	8	33	12	20	20	66	20	42	14	39	14	30	5	8	5	6
P52732_pIC50	26	62	37	56	31	114	26	38	42	65	32	65	54	105	35	59
P53779_pIC50	27	33	25	34	36	67	33	77	41	73	76	130	58	118	65	135
P55263_pIC50	20	20	13	15	22	70	21	68	23	23	17	28	13	44	12	32
P56817_pIC50	51	81	77	138	55	105	64	70	42	76	62	138	38	122	89	149
P78536_pKi	21	28	20	23	4	71	2	23	25	29	22	26	13	25	8	27
Q02083_pIC50	15	27	18	29	3	20	3	10	17	23	22	28	4	12	3	10
Q02127_pIC50	19	24	19	44	10	15	8	44	13	34	39	40	8	34	8	94
Q04759_pIC50	19	36	22	28	22	82	20	65	32	51	35	36	34	114	17	39
Q06187_pIC50	19	36	31	38	15	105	13	21	16	50	25	43	26	33	27	72
Q08881_pIC50	22	33	22	34	23	58	21	32	23	45	23	38	15	42	10	33
Q13258_pIC50	15	16	14	25	18	33	14	36	16	18	14	31	19	22	25	39
Q13464_pIC50	37	60	25	53	32	54	31	58	26	26	24	34	28	40	26	56
