fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P13726_pIC50	0.932915	0.932915	0.929096	0.929096	0.860208	0.860208	0.870138	0.870138	0.932915	0.932915	0.92861	0.92861	0.918332	0.918332	0.931736	0.931736
P14222_pIC50	0.720084	0.804054	0.721704	0.721704	0.71398	0.745371	0.77787	0.785833	0.65526	0.783675	0.692055	0.771649	0.754056	0.81961	0.660223	0.757017
P16581_pIC50	0.98125	0.98125	0.973859	0.973859	0.949227	0.958657	0.947044	0.947044	0.972486	0.968742	0.968904	0.968904	0.956464	0.952482	0.91159	0.91159
P18054_pIC50	0.756563	0.732932	0.744889	0.728258	0.677114	0.713781	0.676229	0.68151	0.724598	0.734486	0.708376	0.702544	0.568869	0.718908	0.557194	0.643973
P18089_pKi	0.821511	0.83417	0.807553	0.807553	0.823952	0.830241	0.784823	0.815125	0.801783	0.804154	0.79711	0.807128	0.800498	0.814648	0.815784	0.833775
P18564_pIC50	0.673309	0.735233	0.671408	0.770817	0.643125	0.643125	0.645208	0.697184	0.803749	0.815	0.738308	0.738308	0.774391	0.774391	0.770709	0.770709
P19320_pIC50	0.973249	0.973249	0.938751	0.938751	0.910584	0.910584	0.873667	0.928251	0.883165	0.883165	0.882998	0.882998	0.883165	0.883165	0.882998	0.882998
P19793_pIC50	0.804039	0.846308	0.794308	0.792887	0.807664	0.808719	0.795625	0.795625	0.832313	0.832313	0.818444	0.815051	0.840298	0.862628	0.818444	0.818444
P20309_pIC50	0.912968	0.914188	0.8674	0.890228	0.908061	0.90727	0.904349	0.911278	0.896055	0.897237	0.876421	0.86699	0.907005	0.907908	0.887851	0.901577
P21397_pIC50	0.858473	0.852965	0.845833	0.843542	0.850829	0.849827	0.843166	0.844019	0.827767	0.841442	0.830083	0.839105	0.833091	0.842527	0.827834	0.836889
P21397_pKi	0.944051	0.943911	0.929183	0.927013	0.942808	0.928646	0.904802	0.925616	0.897704	0.92043	0.904672	0.898942	0.92882	0.936962	0.920379	0.928113
P21554_pKi	0.854823	0.858305	0.83861	0.842731	0.86472	0.868228	0.847608	0.846478	0.841342	0.86178	0.840181	0.846781	0.852511	0.857751	0.835728	0.845921
P21918_pKi	0.869927	0.870991	0.818875	0.844095	0.865325	0.884932	0.762609	0.835661	0.878566	0.878566	0.811577	0.828056	0.856829	0.872319	0.81221	0.840711
P22748_pKi	0.876606	0.87442	0.849787	0.854648	0.851885	0.87902	0.823389	0.867732	0.843512	0.88494	0.811618	0.851915	0.841829	0.882095	0.811083	0.826811
P22894_pIC50	0.867517	0.877231	0.828008	0.835399	0.835684	0.866447	0.792879	0.85205	0.897374	0.890324	0.88303	0.865257	0.893437	0.874582	0.871583	0.874589
P23458_pEC50	0.710484	0.727153	0.719376	0.719376	0.667327	0.664409	0.606805	0.602779	0.525138	0.725973	0.686387	0.711319	0.467187	0.620139	0.465104	0.470313
P23526_pIC50	0.617014	0.617014	0.617501	0.617501	0.509165	0.509165	0.567778	0.567778	0.646181	0.646181	0.703126	0.703126	0.679236	0.679236	0.715555	0.715555
P23975_pIC50	0.846883	0.852226	0.822263	0.82502	0.839034	0.86236	0.820122	0.830249	0.866251	0.863187	0.83941	0.838614	0.855885	0.868031	0.79899	0.842505
P25105_pIC50	0.946191	0.945934	0.930396	0.940782	0.934414	0.943333	0.916313	0.930951	0.941054	0.945494	0.935287	0.939193	0.931384	0.93555	0.929212	0.935987
P28335_pEC50	0.789311	0.789042	0.771525	0.763267	0.817139	0.812583	0.742974	0.777101	0.819036	0.799132	0.77389	0.775528	0.791493	0.790502	0.775536	0.775769
P28335_pIC50	0.827255	0.83802	0.833675	0.829042	0.848703	0.850408	0.829203	0.828122	0.83596	0.845461	0.842246	0.843194	0.830846	0.848124	0.831081	0.835633
P28845_pIC50	0.851309	0.862744	0.858662	0.855395	0.873084	0.87424	0.847091	0.85295	0.816161	0.845664	0.82022	0.830168	0.856436	0.860976	0.837717	0.85175
P29274_pEC50	0.90165	0.90165	0.899345	0.899345	0.89209	0.89209	0.897148	0.897148	0.919619	0.919619	0.874262	0.919607	0.880351	0.88119	0.894536	0.894536
P29274_pIC50	0.76588	0.76588	0.705908	0.705908	0.698461	0.751807	0.751953	0.751953	0.75099	0.770611	0.775943	0.775943	0.75099	0.768436	0.815389	0.815389
P30968_pKi	0.832407	0.835082	0.830292	0.853111	0.80171	0.826742	0.80541	0.822908	0.824101	0.813842	0.834233	0.827887	0.810858	0.815688	0.794781	0.796492
P31645_pIC50	0.897654	0.893288	0.866566	0.87352	0.877933	0.897499	0.840778	0.881883	0.88761	0.899908	0.858573	0.880659	0.902441	0.895634	0.877788	0.884054
P31751_pIC50	0.900013	0.904964	0.883651	0.885003	0.899735	0.912345	0.878118	0.894267	0.916677	0.90386	0.904411	0.898467	0.908231	0.903544	0.899959	0.899959
P32245_pEC50	0.806847	0.820465	0.824687	0.820553	0.811608	0.814581	0.815235	0.806327	0.788596	0.811126	0.753917	0.789365	0.822238	0.807398	0.798219	0.796372
P32245_pKi	0.92793	0.929843	0.913268	0.914452	0.927435	0.926481	0.910133	0.914316	0.919635	0.925682	0.917862	0.917909	0.921339	0.924113	0.911538	0.914099
P34903_pKi	0.854318	0.863079	0.846875	0.843514	0.843408	0.843408	0.816916	0.816916	0.868757	0.871272	0.821616	0.826811	0.728291	0.83103	0.697676	0.807531
P34998_pKi	0.813457	0.828884	0.772285	0.788592	0.666931	0.816631	0.658967	0.776881	0.797212	0.829066	0.797585	0.815676	0.79843	0.816266	0.792728	0.783912
P35869_pEC50	0.79808	0.79772	0.802678	0.809227	0.808896	0.815661	0.787332	0.811536	0.786216	0.779025	0.799211	0.797974	0.762207	0.798457	0.806431	0.813323
P35968_pKi	0.868105	0.86302	0.830417	0.854312	0.833306	0.848342	0.857215	0.828212	0.804537	0.829633	0.775538	0.745476	0.798353	0.798353	0.755449	0.732925
P39900_pIC50	0.929485	0.923406	0.916238	0.918599	0.911128	0.935839	0.892906	0.892906	0.897181	0.912521	0.892409	0.919601	0.831798	0.897052	0.885511	0.891685
P41146_pIC50	0.856238	0.838602	0.837044	0.808696	0.846761	0.792097	0.811305	0.811305	0.835578	0.851962	0.812405	0.770362	0.759719	0.81598	0.766399	0.773481
P41595_pIC50	0.823438	0.823438	0.748541	0.768392	0.607052	0.791488	0.588721	0.617056	0.760089	0.751533	0.597679	0.703751	0.521888	0.521888	0.533913	0.533913
P42336_pIC50	0.89515	0.898029	0.887677	0.889315	0.899983	0.902345	0.882887	0.896867	0.883423	0.892589	0.881604	0.881902	0.897507	0.897146	0.886276	0.891284
P43088_pIC50	0.817501	0.8275	0.748333	0.748333	0.789999	0.789999	0.794166	0.794166	0.881667	0.881667	0.893333	0.893333	0.596665	0.810833	0.669166	0.669166
P45983_pIC50	0.887886	0.884897	0.866364	0.884711	0.883181	0.887656	0.882256	0.881271	0.866449	0.881602	0.849207	0.872365	0.88064	0.879245	0.848942	0.868919
P47871_pIC50	0.89709	0.895326	0.866458	0.874973	0.892727	0.891878	0.882374	0.879033	0.887881	0.887618	0.873834	0.869542	0.877247	0.892851	0.864846	0.872011
P47989_pIC50	0.908656	0.908656	0.905981	0.905981	0.90576	0.90576	0.893427	0.893427	0.896361	0.896361	0.879388	0.883397	0.84886	0.896575	0.879212	0.860279
P49841_pKi	0.813999	0.813999	0.8375	0.8375	0.843634	0.83325	0.830674	0.826021	0.793057	0.79546	0.781365	0.78827	0.771501	0.822636	0.769692	0.770826
P50281_pIC50	0.847422	0.845532	0.84043	0.847711	0.84024	0.837244	0.845484	0.845484	0.820756	0.84114	0.798291	0.819181	0.824301	0.838122	0.754703	0.787804
P52895_pIC50	0.867552	0.908076	0.89702	0.924444	0.90311	0.898525	0.881538	0.886752	0.897982	0.908111	0.878633	0.86343	0.870351	0.887298	0.878633	0.864573
P55072_pIC50	0.909794	0.921904	0.905476	0.872442	0.905566	0.905982	0.908632	0.908632	0.924644	0.924644	0.886876	0.886876	0.865654	0.865654	0.852858	0.852858
Q02127_pIC50	0.895336	0.898622	0.87551	0.87043	0.876396	0.891449	0.802167	0.897559	0.89629	0.893137	0.867819	0.879292	0.888332	0.88925	0.877944	0.866976
Q04759_pIC50	0.846219	0.833816	0.860975	0.860975	0.798445	0.825002	0.831641	0.831641	0.831509	0.870006	0.874353	0.886135	0.784237	0.821744	0.882129	0.882129
Q12866_pIC50	0.868268	0.868268	0.884166	0.855176	0.870732	0.870732	0.842826	0.828269	0.830945	0.782759	0.691351	0.787812	0.805231	0.805231	0.815112	0.79888
Q12908_pIC50	0.890592	0.876896	0.885255	0.864661	0.768133	0.768133	0.71486	0.71486	0.840146	0.844342	0.833333	0.829199	0.827683	0.827683	0.801282	0.78934
Q13133_pIC50	0.958655	0.964799	0.961204	0.96435	0.963134	0.965557	0.964595	0.960343	0.9629	0.963181	0.954144	0.953003	0.963531	0.960976	0.961838	0.960835
Q13258_pIC50	0.906798	0.907559	0.869313	0.869313	0.905089	0.927843	0.754177	0.847889	0.902582	0.902582	0.888765	0.888765	0.87846	0.87846	0.877167	0.845089
Q13464_pIC50	0.867737	0.867231	0.872974	0.874968	0.850841	0.885329	0.870301	0.870301	0.868653	0.868653	0.844289	0.822963	0.849325	0.852407	0.845885	0.846905
