fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P20618_pIC50	0.819168	0.819168	0.822501	0.822501	0.819168	0.819168	0.768332	0.768332	0.819168	0.7625	0.675835	0.675835	0.690835	0.690835	0.690835	0.690835
P20839_pIC50	0.823332	0.823332	0.675833	0.672498	0.5	0.5	0.5	0.5	0.767499	0.767499	0.657499	0.657499	0.66	0.614166	0.648334	0.677499
P21397_pIC50	0.764459	0.787921	0.714245	0.748387	0.778832	0.78507	0.741126	0.741202	0.775483	0.795078	0.734505	0.746623	0.786923	0.800387	0.736508	0.742103
P21452_pKi	0.795521	0.769695	0.758924	0.765108	0.776879	0.797992	0.777226	0.785553	0.77361	0.816365	0.755452	0.784327	0.794327	0.809935	0.760005	0.771734
P21453_pEC50	0.880259	0.880901	0.861451	0.865475	0.875367	0.88192	0.840861	0.864216	0.874365	0.88108	0.856201	0.87132	0.880489	0.881915	0.852457	0.872805
P23458_pIC50	0.690951	0.693457	0.680494	0.680593	0.590007	0.702433	0.601911	0.677571	0.666487	0.683095	0.65486	0.659795	0.709447	0.692467	0.678254	0.682926
P23946_pIC50	0.705745	0.697997	0.708203	0.686828	0.646243	0.646243	0.630395	0.661666	0.657822	0.692338	0.65326	0.613887	0.648232	0.689122	0.655059	0.668845
P25025_pKi	0.912483	0.890439	0.904213	0.902513	0.492178	0.900956	0.5	0.881894	0.89227	0.862623	0.879798	0.883851	0.882708	0.882708	0.896206	0.896206
P28221_pKi	0.767887	0.771344	0.765324	0.754286	0.739921	0.774895	0.723226	0.741685	0.743505	0.741456	0.713978	0.718869	0.755941	0.764071	0.694425	0.74716
P28222_pKi	0.727753	0.721853	0.701716	0.705182	0.63925	0.739581	0.630726	0.707105	0.720514	0.704542	0.702377	0.682109	0.680127	0.716462	0.671452	0.688366
