fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P13726_pIC50	0.783571	0.783571	0.912143	0.912143	0.612309	0.612309	0.629976	0.629976	0.783571	0.783571	0.901238	0.901238	0.770904	0.770904	0.901239	0.901239
P14222_pIC50	0.497807	0.540239	0.512143	0.512143	0.419165	0.490596	0.577786	0.567118	0.211142	0.477667	0.328889	0.49362	0.375906	0.455095	0.226404	0.501039
P16581_pIC50	0.893723	0.893723	0.896849	0.896849	0.892358	0.872424	0.888031	0.888031	0.889246	0.874318	0.894329	0.894329	0.871913	0.890289	0.831358	0.831358
P18054_pIC50	0.565865	0.551437	0.540143	0.553643	0.46765	0.504603	0.451216	0.484888	0.523547	0.518508	0.480518	0.471654	0.298946	0.409809	0.29889	0.356478
P18089_pKi	0.770216	0.779004	0.757283	0.757283	0.77715	0.771629	0.750693	0.758809	0.753494	0.76629	0.762785	0.764678	0.763695	0.753371	0.782949	0.773881
P18564_pIC50	0.623634	0.706654	0.673092	0.700198	0.575794	0.575794	0.632159	0.666703	0.757868	0.757617	0.695847	0.695847	0.69863	0.69863	0.714754	0.714754
P19320_pIC50	0.877379	0.877379	0.888071	0.888071	0.829645	0.829645	0.833144	0.823477	0.834547	0.834547	0.856547	0.856547	0.834547	0.834547	0.856547	0.856547
P19793_pIC50	0.786696	0.829209	0.786549	0.783647	0.783958	0.783552	0.790833	0.790833	0.796354	0.796354	0.801722	0.773319	0.798236	0.827962	0.801722	0.801722
P20309_pIC50	0.92317	0.928244	0.901211	0.911575	0.915561	0.921119	0.913518	0.916228	0.909829	0.918261	0.905178	0.900376	0.919571	0.921929	0.916322	0.918703
P21397_pIC50	0.617427	0.624011	0.598631	0.594461	0.617583	0.620277	0.573721	0.58686	0.588707	0.588366	0.559332	0.585616	0.584987	0.599986	0.546895	0.573467
P21397_pKi	0.700673	0.659218	0.694732	0.697716	0.714497	0.627151	0.604991	0.676435	0.608703	0.64844	0.588539	0.6012	0.632467	0.64667	0.601526	0.64171
P21554_pKi	0.827523	0.831813	0.822137	0.822813	0.837913	0.836143	0.828386	0.828506	0.823845	0.834984	0.824061	0.828023	0.828713	0.83361	0.823955	0.825137
P21918_pKi	0.888868	0.890149	0.860207	0.876445	0.866753	0.873921	0.8376	0.849585	0.871214	0.871214	0.844867	0.852259	0.863871	0.873278	0.845461	0.858911
P22748_pKi	0.659511	0.69425	0.676094	0.695181	0.659784	0.691331	0.653272	0.73281	0.676669	0.705354	0.63054	0.674315	0.646821	0.675672	0.615574	0.656162
P22894_pIC50	0.942727	0.941229	0.93262	0.938457	0.936274	0.94428	0.934687	0.945007	0.938077	0.941939	0.938213	0.938669	0.945523	0.948172	0.943092	0.944854
P23458_pEC50	0.846794	0.852819	0.860658	0.860658	0.837384	0.837384	0.830831	0.832979	0.856672	0.848325	0.859935	0.860394	0.86883	0.833455	0.86883	0.86883
P23526_pIC50	0.654985	0.654985	0.663104	0.663104	0.524835	0.524835	0.654976	0.654976	0.722706	0.722706	0.673905	0.673905	0.720317	0.720317	0.684278	0.684278
P23975_pIC50	0.907228	0.90805	0.899312	0.902908	0.900177	0.906647	0.89698	0.902925	0.902292	0.904513	0.895503	0.901417	0.902267	0.901139	0.89675	0.899252
P25105_pIC50	0.934606	0.936651	0.931334	0.937665	0.936148	0.939808	0.922747	0.932625	0.944075	0.942114	0.936418	0.937668	0.934658	0.942156	0.930898	0.935157
P28335_pEC50	0.928562	0.928246	0.926666	0.925487	0.930622	0.930398	0.918689	0.922886	0.928624	0.926643	0.922148	0.924855	0.925845	0.924015	0.915662	0.920488
P28335_pIC50	0.857794	0.874785	0.867635	0.868917	0.876268	0.877934	0.859941	0.86001	0.861698	0.876077	0.8695	0.868735	0.873075	0.877539	0.856196	0.859107
P28845_pIC50	0.934556	0.938087	0.935889	0.938351	0.939154	0.938996	0.938146	0.937488	0.934568	0.933817	0.935402	0.93551	0.932797	0.935759	0.934743	0.936183
P29274_pEC50	0.874127	0.874127	0.884223	0.884223	0.871977	0.871977	0.881747	0.881747	0.903094	0.903094	0.83196	0.88856	0.842166	0.83471	0.836588	0.836588
P29274_pIC50	0.83917	0.83917	0.821986	0.821986	0.818033	0.839022	0.83776	0.83776	0.828335	0.835619	0.87279	0.87279	0.828335	0.831665	0.866401	0.866401
P30968_pKi	0.890722	0.8883	0.88114	0.894579	0.872358	0.880989	0.880551	0.883413	0.871575	0.887528	0.883881	0.885451	0.870946	0.885302	0.877774	0.878017
P31645_pIC50	0.920488	0.921946	0.917671	0.918798	0.91873	0.922618	0.913116	0.919448	0.921237	0.921558	0.917091	0.919966	0.922237	0.922117	0.924074	0.921153
P31751_pIC50	0.926748	0.924555	0.925139	0.924248	0.928264	0.927049	0.913639	0.928123	0.926357	0.921279	0.925658	0.92245	0.926867	0.928668	0.923503	0.923503
P32245_pEC50	0.920595	0.920691	0.926424	0.927487	0.923148	0.919658	0.925865	0.922461	0.912061	0.918159	0.912954	0.915869	0.919036	0.917538	0.914528	0.918445
P32245_pKi	0.903212	0.904905	0.90263	0.901309	0.905803	0.900574	0.900931	0.903764	0.899659	0.905868	0.901618	0.902881	0.898232	0.901657	0.898568	0.901048
P34903_pKi	0.96254	0.964087	0.961181	0.960723	0.957014	0.957014	0.958585	0.958585	0.960562	0.960267	0.956787	0.956679	0.94824	0.954849	0.955854	0.958665
P34998_pKi	0.902285	0.90049	0.902682	0.900574	0.890624	0.902215	0.891213	0.898544	0.897082	0.901806	0.90176	0.905045	0.903626	0.904776	0.898429	0.899292
P35869_pEC50	0.584898	0.586112	0.582276	0.576202	0.604817	0.607179	0.555289	0.593925	0.576869	0.587715	0.586844	0.566602	0.53903	0.608576	0.59589	0.607073
P35968_pKi	0.894476	0.901176	0.887448	0.892879	0.88905	0.893727	0.887789	0.869049	0.875639	0.89465	0.872346	0.861937	0.878732	0.878732	0.823549	0.825362
P39900_pIC50	0.883593	0.887443	0.886301	0.887678	0.885498	0.88909	0.888001	0.888001	0.870357	0.882167	0.865863	0.880492	0.812742	0.860702	0.855565	0.862841
P41146_pIC50	0.955145	0.957482	0.948511	0.952056	0.951991	0.954955	0.951731	0.951731	0.952724	0.951628	0.947175	0.948384	0.952481	0.950957	0.953536	0.950115
P41595_pIC50	0.873443	0.873443	0.85593	0.864343	0.801562	0.855734	0.851755	0.802933	0.855239	0.861848	0.810509	0.850145	0.853181	0.853181	0.866028	0.866028
P42336_pIC50	0.925371	0.926806	0.923133	0.923767	0.92739	0.928018	0.92245	0.926294	0.924274	0.925915	0.921409	0.922506	0.928115	0.926553	0.925722	0.925358
P43088_pIC50	0.868263	0.868263	0.829906	0.829906	0.868263	0.868263	0.838477	0.838477	0.773834	0.773834	0.783452	0.783452	0.733213	0.791667	0.776072	0.776072
P45983_pIC50	0.888028	0.88803	0.884912	0.893291	0.885624	0.892111	0.890205	0.890911	0.885854	0.890847	0.880437	0.887436	0.893913	0.894619	0.885341	0.886144
P47871_pIC50	0.935511	0.932394	0.929552	0.926123	0.931126	0.92982	0.930391	0.932462	0.93668	0.929483	0.929421	0.927325	0.932055	0.93472	0.931801	0.932505
P47989_pIC50	0.659641	0.659641	0.681302	0.681302	0.6484	0.6484	0.690599	0.690599	0.67942	0.67942	0.655492	0.689721	0.645008	0.66113	0.667377	0.625825
P49841_pKi	0.85833	0.85833	0.851598	0.851598	0.868609	0.861283	0.858832	0.848627	0.865867	0.865626	0.870981	0.868724	0.868325	0.858896	0.861985	0.862413
P50281_pIC50	0.78652	0.786541	0.783036	0.784211	0.773668	0.767052	0.786004	0.786004	0.765938	0.777041	0.749907	0.765652	0.770178	0.778099	0.732604	0.745196
P52895_pIC50	0.460475	0.471619	0.476094	0.644476	0.462047	0.487452	0.453761	0.52619	0.504753	0.505047	0.396978	0.48688	0.433064	0.447412	0.396978	0.524762
P55072_pIC50	0.876938	0.916383	0.860055	0.879337	0.888314	0.884433	0.857869	0.857869	0.893346	0.893346	0.848128	0.848128	0.857528	0.857528	0.842561	0.842561
