target_measurement	structure_features
O00142_pIC50	hybrid_Wlambda3.unity,hybrid_BCUTp.1l,topological_nRings5,topological_MDEN.22,topological_MDEN.23,topological_MDEN.33,topological_khs.sssCH,topological_khs.aaN,topological_khs.aasN,topological_khs.sOH,topological_SCH.5,topological_VCH.5,topological_ATSc4,topological_ATSc5
O00182_pKd	constitutional_ALogp2,electronic_FNSA.2,geometrical_FNSA.2,hybrid_Wlambda2.unity,hybrid_BCUTp.1h,topological_MDEC.11,topological_MDEO.11,topological_MDEO.12,topological_MDEO.22,topological_khs.sssCH,topological_khs.sOH,topological_khs.ssO,topological_khs.dS,topological_khs.ssS,topological_ATSc3
O00311_pIC50	constitutional_nRotB,constitutional_nAtomP,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,electronic_RNCS,geometrical_topoShape,geometrical_RNCS,hybrid_Weta3.unity,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nAromRings,topological_nAromBlocks,topological_VABC,topological_topoShape,topological_PetitjeanNumber,topological_MDEC.33,topological_MDEO.11,topological_khs.dsCH,topological_khs.dssC,topological_khs.aasC,topological_khs.dsN,topological_khs.aaN,topological_khs.aasN,topological_khs.sOH,topological_khs.dO,topological_khs.aaO,topological_FMF,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4
O00329_pIC50	constitutional_MW,constitutional_nAtomLC,constitutional_nB,constitutional_ALogP,constitutional_ALogp2,constitutional_AMR,electronic_nHBDon,electronic_nHBAcc,electronic_RNCS,electronic_apol,geometrical_MOMI.Z,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_LOBMIN,geometrical_GRAV.4,geometrical_GRAV.5,geometrical_GRAV.6,geometrical_RNCS,hybrid_Wlambda2.unity,hybrid_BCUTc.1l,topological_nSmallRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_nRings7,topological_Zagreb,topological_WPOL,topological_VAdjMat,topological_VABC,topological_MDEC.33,topological_MDEO.11,topological_MDEO.12,topological_MDEN.12,topological_MDEN.13,topological_khs.sssCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.aaN,topological_khs.sssN,topological_khs.aasN,topological_khs.sOH,topological_khs.dO,topological_khs.ssO,topological_khs.ddssS,topological_Kier1,topological_Kier2,topological_SCH.7,topological_VCH.7,topological_C1SP2,topological_C3SP2,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm2,topological_ATSm3,topological_ATSm4,topological_ATSm5,topological_ATSc3
O00408_pIC50	constitutional_XLogP,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogp2,electronic_RPCG,geometrical_MOMI.Z,geometrical_MOMI.XY,geometrical_GRAV.4,geometrical_RPCG,hybrid_Wlambda2.unity,hybrid_Wnu2.unity,hybrid_WK.unity,hybrid_BCUTc.1h,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nRings5,topological_nRings6,topological_MDEC.13,topological_MDEC.22,topological_MDEC.33,topological_MDEO.11,topological_MDEN.22,topological_MDEN.23,topological_khs.aaCH,topological_khs.sssCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.aaN,topological_khs.aasN,topological_khs.dO,topological_SCH.7,topological_VCH.7,topological_C1SP2,topological_C3SP2,topological_C3SP3,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm4,topological_ATSm5,topological_ATSc3,topological_ATSc4
O00444_pIC50	constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAromBond,constitutional_naAromAtom,hybrid_WK.unity,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nAromBlocks,topological_nRings6,topological_MDEC.22,topological_MDEN.22,topological_khs.dsCH,topological_khs.dssC,topological_khs.aaN,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_C2SP2
O00519_pIC50	constitutional_nAtomP,constitutional_nAromBond,constitutional_naAromAtom,electronic_TopoPSA,electronic_RNCG,electronic_RNCS,geometrical_MOMI.X,geometrical_MOMI.Y,geometrical_MOMI.R,geometrical_RNCG,geometrical_RNCS,hybrid_Wlambda3.unity,hybrid_Wnu1.unity,hybrid_Weta3.unity,hybrid_WT.unity,hybrid_WA.unity,hybrid_BCUTc.1l,hybrid_BCUTc.1h,topological_nSmallRings,topological_nAromRings,topological_nAromBlocks,topological_nRings4,topological_nRings5,topological_nRings6,topological_TopoPSA,topological_MDEC.33,topological_MDEO.12,topological_MDEO.22,topological_MDEN.22,topological_MDEN.23,topological_khs.aaCH,topological_khs.dsN,topological_khs.aaN,topological_khs.ssO,topological_Kier2,topological_Kier3,topological_ECCEN,topological_SCH.4,topological_VCH.4,topological_VCH.5,topological_C1SP2,topological_C3SP2,topological_ATSc1,topological_ATSc2
O00748_pKi	constitutional_XLogP,constitutional_MLogP,constitutional_nB,electronic_RPCG,geometrical_MOMI.XY,geometrical_RPCG,hybrid_Wnu2.unity,hybrid_BCUTc.1h,topological_nRings5,topological_Zagreb,topological_WPOL,topological_VAdjMat,topological_VABC,topological_MDEC.22,topological_Kier2,topological_C1SP2
O00763_pIC50	constitutional_nRotB,constitutional_MLogP,constitutional_nAtomLAC,constitutional_ALogp2,geometrical_MOMI.R,hybrid_BCUTp.1h,topological_nRings4,topological_nRings5,topological_MDEC.24,topological_MDEC.34,topological_MDEN.23,topological_khs.aaCH,topological_khs.sssCH,topological_khs.aaN,topological_khs.sssN,topological_khs.aaS,topological_Kier3,topological_SCH.4,topological_SCH.6,topological_SCH.7,topological_VCH.4,topological_VCH.5,topological_C3SP3,topological_ATSc5
O14672_pIC50	constitutional_XLogP,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_ALogp2,electronic_nHBDon,hybrid_BCUTw.1l,topological_nAromRings,topological_nAromBlocks,topological_nRings3,topological_MDEC.24,topological_MDEC.34,topological_MDEO.11,topological_khs.ssCH2,topological_khs.dsCH,topological_khs.aaCH,topological_khs.sssCH,topological_khs.dssC,topological_khs.aasC,topological_khs.ssssC,topological_khs.sssN,topological_khs.sOH,topological_HybRatio,topological_FMF,topological_SCH.3,topological_SCH.4,topological_VCH.3,topological_VCH.4,topological_VCH.6,topological_VCH.7,topological_C2SP2,topological_C2SP3,topological_C3SP3,topological_C4SP3,topological_ATSc5
O14684_pIC50	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_nHBAcc,electronic_RPCG,electronic_RNCG,electronic_RPCS,electronic_RNCS,electronic_TPSA,electronic_RHSA,electronic_RPSA,geometrical_LOBMIN,geometrical_RPCG,geometrical_RNCG,geometrical_RPCS,geometrical_RNCS,geometrical_TPSA,geometrical_RHSA,geometrical_RPSA,hybrid_Wlambda1.unity,hybrid_Wnu1.unity,hybrid_Weta1.unity,hybrid_WD.unity,hybrid_BCUTw.1l,hybrid_BCUTw.1h,hybrid_BCUTc.1l,hybrid_BCUTc.1h,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_Zagreb,topological_WPOL,topological_TopoPSA,topological_MDEC.12,topological_MDEC.14,topological_MDEC.23,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_MDEO.11,topological_MDEN.11,topological_MDEN.12,topological_MDEN.22,topological_MDEN.23,topological_khs.sCH3,topological_khs.sssCH,topological_khs.tsC,topological_khs.dssC,topological_khs.aaaC,topological_khs.ssssC,topological_khs.ssNH,topological_khs.aaNH,topological_khs.tN,topological_khs.aaN,topological_khs.sssN,topological_khs.sOH,topological_khs.dO,topological_khs.aaO,topological_khs.sF,topological_khs.ssS,topological_khs.sCl,topological_Kier3,topological_FMF,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C1SP1,topological_C2SP1,topological_C1SP2,topological_C3SP2,topological_C3SP3,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSc2,topological_ATSc3,topological_ATSc5
O14746_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,electronic_nHBDon,hybrid_BCUTp.1h,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_MDEN.22,topological_MDEN.23,topological_khs.dssC,topological_khs.aaaC,topological_khs.ssNH,topological_khs.aaN,topological_khs.sssN,topological_khs.dO,topological_SCH.5,topological_VCH.5
O14757_pKi	constitutional_nAtomP,electronic_PNSA.2,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_GRAV.1,geometrical_PNSA.2,hybrid_Wlambda2.unity,hybrid_Wlambda3.unity,hybrid_Wnu2.unity,hybrid_WT.unity,hybrid_WK.unity,hybrid_BCUTw.1l,topological_nRingBlocks,topological_nAromBlocks,topological_MDEC.33,topological_MDEN.12,topological_MDEN.22,topological_khs.aasC,topological_khs.aaN,topological_khs.sCl,topological_Kier2,topological_Kier3
O14786_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,topological_C3SP2,topological_C2SP3
O14842_pEC50	constitutional_XLogP,constitutional_nAtomLAC,constitutional_ALogP,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,geometrical_MOMI.X,geometrical_MOMI.Y,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_MOMI.R,hybrid_Wlambda3.unity,hybrid_Wnu1.unity,hybrid_Weta3.unity,hybrid_WT.unity,hybrid_BCUTp.1h,topological_nSmallRings,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.11,topological_MDEC.14,topological_MDEC.23,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_khs.sCH3,topological_khs.aaCH,topological_khs.aasC,topological_khs.ssssC,topological_khs.ssO,topological_khs.sF,topological_SCH.5,topological_SCH.7,topological_VCH.7,topological_C3SP2,topological_C4SP3
O14920_pIC50	constitutional_nAtomP,constitutional_nAtomLC,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_ALogp2,electronic_RPCG,geometrical_RPCG,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_MDEC.12,topological_MDEC.13,topological_MDEC.33,topological_MDEN.11,topological_MDEN.22,topological_MDEN.23,topological_khs.aaCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaN,topological_khs.aasN,topological_khs.dO,topological_HybRatio,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.7,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_ATSp3,topological_ATSc4,topological_ATSc5
O14939_pIC50	constitutional_nRotB,constitutional_nB,constitutional_nAtom,constitutional_nAromBond,constitutional_naAromAtom,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_FPSA.2,electronic_RPCG,electronic_RNCG,electronic_bpol,electronic_apol,geometrical_topoShape,geometrical_FPSA.2,geometrical_RPCG,geometrical_RNCG,hybrid_BCUTw.1l,hybrid_BCUTc.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nRings5,topological_Zagreb,topological_WPATH,topological_WPOL,topological_VAdjMat,topological_VABC,topological_TopoPSA,topological_topoShape,topological_PetitjeanNumber,topological_MDEC.14,topological_MDEC.23,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_MDEO.11,topological_MDEN.22,topological_MDEN.23,topological_MDEN.33,topological_khs.aaaC,topological_khs.ssssC,topological_khs.ssNH,topological_khs.aaNH,topological_khs.sssN,topological_khs.aasN,topological_fragC,topological_ECCEN,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_C2SP2,topological_ATSp5,topological_ATSc3,topological_ATSc4
O14965_pIC50	constitutional_nAtomP,constitutional_nB,constitutional_AMR,electronic_TopoPSA,electronic_nHBDon,electronic_nHBAcc,electronic_PNSA.3,electronic_DPSA.3,electronic_FNSA.2,electronic_RNCG,electronic_TPSA,electronic_RHSA,electronic_RPSA,geometrical_geomShape,geometrical_MOMI.R,geometrical_GRAV.1,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.1,geometrical_GRAVH.2,geometrical_GRAVH.3,geometrical_GRAV.6,geometrical_PNSA.3,geometrical_DPSA.3,geometrical_FNSA.2,geometrical_RNCG,geometrical_TPSA,geometrical_RHSA,geometrical_RPSA,hybrid_Wlambda2.unity,hybrid_Wnu2.unity,hybrid_WA.unity,hybrid_WV.unity,hybrid_WK.unity,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_Zagreb,topological_TopoPSA,topological_geomShape,topological_MDEC.23,topological_MDEC.33,topological_MDEN.12,topological_MDEN.22,topological_MDEN.23,topological_khs.ssCH2,topological_khs.sssCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaN,topological_khs.dO,topological_Kier2,topological_Kier3,topological_ECCEN,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_VCH.6,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C1SP3,topological_ATSm2,topological_ATSc3,topological_ATSc4,topological_ATSc5
