target_measurement	structure_features
O15530_pIC50	constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomLC,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_RPCG,electronic_RPCS,electronic_TPSA,electronic_RHSA,electronic_RPSA,geometrical_MOMI.Y,geometrical_MOMI.Z,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_LOBMIN,geometrical_RPCG,geometrical_RPCS,geometrical_TPSA,geometrical_RHSA,geometrical_RPSA,hybrid_Wlambda3.unity,hybrid_Wnu2.unity,hybrid_Weta1.unity,hybrid_WT.unity,hybrid_WK.unity,hybrid_BCUTc.1h,hybrid_BCUTp.1l,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.24,topological_MDEC.34,topological_MDEN.12,topological_MDEN.23,topological_khs.tsC,topological_khs.dssC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aasN,topological_khs.sF,topological_SCH.7,topological_C2SP1,topological_C1SP2,topological_ATSc2,topological_ATSc5
O43353_pIC50	hybrid_BCUTw.1l,hybrid_BCUTc.1h,topological_nAromBlocks,topological_MDEC.11,topological_MDEC.14,topological_MDEN.11,topological_MDEN.12,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aaN,topological_khs.dO,topological_ATSc5
O43570_pKi	constitutional_XLogP,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomLC,constitutional_ALogP,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBAcc,electronic_PNSA.1,electronic_WNSA.1,electronic_RNCG,geometrical_MOMI.XY,geometrical_MOMI.R,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.2,geometrical_GRAVH.3,geometrical_PNSA.1,geometrical_WNSA.1,geometrical_RNCG,hybrid_BCUTw.1h,hybrid_BCUTc.1l,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings6,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.23,topological_khs.dsCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.sOH,topological_khs.dO,topological_khs.aaO,topological_khs.ssS,topological_khs.ddssS,topological_FMF,topological_SCH.6,topological_SCH.7,topological_C3SP2,topological_ATSm2
O43613_pEC50	hybrid_BCUTw.1l,topological_MDEN.33,topological_khs.dNH,topological_khs.dsN
O43614_pEC50	constitutional_nAtomLAC,constitutional_nAtomLC,constitutional_nBase,hybrid_BCUTp.1l,topological_nRings6,topological_MDEN.11,topological_khs.dNH,topological_khs.aaNH,topological_khs.aaN,topological_khs.sSH,topological_C3SP2
O60341_pIC50	constitutional_nAtomP,topological_MDEN.33,topological_khs.dsCH,topological_khs.dsN,topological_SCH.5,topological_VCH.5
O60674_pIC50	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nBase,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_nHBAcc,electronic_DPSA.1,electronic_FPSA.1,electronic_FPSA.2,electronic_FNSA.1,electronic_RPCG,electronic_RNCG,electronic_RPCS,geometrical_geomShape,geometrical_MOMI.Z,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_DPSA.1,geometrical_FPSA.1,geometrical_FPSA.2,geometrical_FNSA.1,geometrical_RPCG,geometrical_RNCG,geometrical_RPCS,hybrid_Wlambda1.unity,hybrid_Wlambda2.unity,hybrid_Wlambda3.unity,hybrid_Wnu1.unity,hybrid_Wnu2.unity,hybrid_Weta1.unity,hybrid_Weta2.unity,hybrid_WT.unity,hybrid_WK.unity,hybrid_BCUTw.1l,topological_nSmallRings,topological_nAromBlocks,topological_nRings3,topological_tpsaEfficiency,topological_TopoPSA,topological_geomShape,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_MDEO.12,topological_MDEN.22,topological_khs.sssCH,topological_khs.dssC,topological_khs.ssssC,topological_khs.ssNH,topological_khs.aaNH,topological_khs.aaN,topological_khs.aaS,topological_SCH.3,topological_SCH.4,topological_SCH.6,topological_VCH.3,topological_VCH.4,topological_VCH.5,topological_VCH.6,topological_VCH.7,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C3SP3,topological_ATSm5,topological_ATSc1,topological_ATSc2,topological_ATSc3,topological_ATSc4,topological_ATSc5
O60725_pIC50	constitutional_nAtomP,electronic_RPCG,geometrical_RPCG,hybrid_BCUTp.1h,topological_nAromRings,topological_nRings5,topological_MDEC.11,topological_MDEC.14,topological_MDEC.23,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_MDEC.44,topological_khs.dssC,topological_khs.aaaC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aasN,topological_khs.dO,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_C1SP2,topological_C4SP3
O60911_pIC50	constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_ALogP,constitutional_ALogp2,electronic_nHBDon,electronic_nHBAcc,electronic_RNCG,geometrical_geomShape,geometrical_LOBMIN,geometrical_RNCG,hybrid_Wlambda1.unity,hybrid_Wnu1.unity,hybrid_Weta3.unity,hybrid_WD.unity,hybrid_BCUTc.1l,hybrid_BCUTc.1h,hybrid_BCUTp.1h,topological_nRings5,topological_nRings6,topological_nRings7,topological_geomShape,topological_MDEO.12,topological_MDEN.22,topological_MDEN.23,topological_khs.ssCH2,topological_khs.sssCH,topological_khs.tsC,topological_khs.dssC,topological_khs.ssNH,topological_khs.tN,topological_khs.aaN,topological_khs.sssN,topological_khs.sOH,topological_khs.dO,topological_Kier3,topological_HybRatio,topological_SCH.6,topological_SCH.7,topological_C1SP1,topological_C1SP2,topological_C2SP2,topological_ATSc1,topological_ATSc2,topological_ATSc3,topological_ATSc4,topological_ATSc5
O75116_pIC50	constitutional_XLogP,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_naAromAtom,electronic_tpsaEfficiency,electronic_nHBDon,electronic_RPCS,electronic_RNCS,geometrical_MOMI.R,geometrical_RPCS,geometrical_RNCS,hybrid_BCUTw.1l,hybrid_BCUTc.1l,hybrid_BCUTp.1l,topological_nSmallRings,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_VAdjMat,topological_MDEC.22,topological_MDEC.23,topological_MDEC.33,topological_MDEO.11,topological_MDEN.22,topological_khs.aaCH,topological_khs.sssCH,topological_khs.tsC,topological_khs.dssC,topological_khs.aaaC,topological_khs.aaNH,topological_khs.tN,topological_khs.aaN,topological_khs.aasN,topological_khs.dO,topological_khs.aaO,topological_khs.ssS,topological_khs.ddssS,topological_SCH.5,topological_SCH.7,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm5
