O00408	constitutional_nAtomP,topological_khs.aaaC
O14672	constitutional_XLogP,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,topological_khs.sOH,topological_HybRatio
O14746	hybrid_BCUTp.1h,topological_nRings5,topological_khs.aaCH,topological_khs.ssNH,topological_SCH.5,topological_VCH.5
O14757	constitutional_nAtomP,geometrical_geomShape,geometrical_GRAV.6,hybrid_BCUTw.1h,hybrid_BCUTp.1l,topological_geomShape,topological_MDEN.12,topological_khs.dsCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.sCl
O14920	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_nAtomP,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_ALogp2,electronic_nHBDon,electronic_RPCG,geometrical_RPCG,hybrid_Wlambda2.unity,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_MDEC.33,topological_MDEO.12,topological_MDEN.11,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_khs.aaCH,topological_khs.dssC,topological_khs.aasC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aasN,topological_khs.dO,topological_khs.ssO,topological_khs.sCl,topological_HybRatio,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C2SP2,topological_C3SP2,topological_ATSc5
O15530	constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomLC,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_RPCG,electronic_RPCS,electronic_TPSA,electronic_RHSA,electronic_RPSA,geometrical_MOMI.Y,geometrical_MOMI.Z,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_LOBMIN,geometrical_RPCG,geometrical_RPCS,geometrical_TPSA,geometrical_RHSA,geometrical_RPSA,hybrid_Wlambda3.unity,hybrid_Wnu2.unity,hybrid_Weta1.unity,hybrid_WT.unity,hybrid_WK.unity,hybrid_BCUTc.1h,hybrid_BCUTp.1l,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.24,topological_MDEC.34,topological_MDEN.12,topological_MDEN.23,topological_khs.tsC,topological_khs.dssC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aasN,topological_khs.sF,topological_SCH.7,topological_C2SP1,topological_C1SP2,topological_ATSc2,topological_ATSc5
O43353	hybrid_BCUTw.1l,hybrid_BCUTc.1h,topological_nAromBlocks,topological_MDEC.11,topological_MDEC.14,topological_MDEN.11,topological_MDEN.12,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aaN,topological_khs.dO,topological_ATSc5
O43570	constitutional_XLogP,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomLC,constitutional_ALogP,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBAcc,electronic_PNSA.1,electronic_WNSA.1,electronic_RNCG,geometrical_MOMI.XY,geometrical_MOMI.R,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.2,geometrical_GRAVH.3,geometrical_PNSA.1,geometrical_WNSA.1,geometrical_RNCG,hybrid_BCUTw.1h,hybrid_BCUTc.1l,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings6,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.23,topological_khs.dsCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.sOH,topological_khs.dO,topological_khs.aaO,topological_khs.ssS,topological_khs.ddssS,topological_FMF,topological_SCH.6,topological_SCH.7,topological_C3SP2,topological_ATSm2
O43613	hybrid_BCUTw.1l,topological_MDEN.33,topological_khs.dNH,topological_khs.dsN
O60341	constitutional_nAtomP,topological_MDEN.33,topological_khs.dsCH,topological_khs.dsN,topological_SCH.5,topological_VCH.5
O60725	constitutional_nAtomP,electronic_RPCG,geometrical_RPCG,hybrid_BCUTp.1h,topological_nAromRings,topological_nRings5,topological_MDEC.11,topological_MDEC.14,topological_MDEC.23,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_MDEC.44,topological_khs.dssC,topological_khs.aaaC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aasN,topological_khs.dO,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_C1SP2,topological_C4SP3
O75469	topological_nRingBlocks,topological_MDEC.24,topological_khs.aaaC,topological_khs.aaN,topological_khs.ddssS
O75908	topological_MDEC.34,topological_MDEN.22,topological_khs.ssNH
O76074	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nBase,electronic_nHBDon,electronic_nHBAcc,electronic_FPSA.3,electronic_RPCS,electronic_THSA,geometrical_FPSA.3,geometrical_RPCS,geometrical_THSA,hybrid_BCUTc.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings3,topological_MDEC.23,topological_MDEC.33,topological_MDEO.11,topological_MDEO.12,topological_MDEO.22,topological_MDEN.23,topological_khs.ssCH2,topological_khs.dsCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.aaN,topological_khs.aasN,topological_khs.sOH,topological_khs.ssO,topological_Kier3,topological_FMF,topological_SCH.3,topological_VCH.3,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C1SP3,topological_C3SP3
O94925	constitutional_XLogP,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_PPSA.3,geometrical_PPSA.3,hybrid_Wlambda1.unity,hybrid_Weta1.unity,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.23,topological_MDEC.33,topological_MDEO.11,topological_MDEN.22,topological_khs.ssCH2,topological_khs.sssCH,topological_khs.aasC,topological_khs.ssS,topological_khs.aaS,topological_SCH.5,topological_VCH.5,topological_VCH.6,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C2SP3,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm5,topological_ATSc4,topological_ATSc5
O96017	constitutional_nAtomLC,electronic_nHBDon,electronic_nHBAcc,hybrid_Wlambda2.unity,topological_nSmallRings,topological_nRings5,topological_MDEN.12,topological_MDEN.13,topological_MDEN.23,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaNH,topological_khs.aaN,topological_khs.aaS,topological_SCH.5,topological_VCH.5,topological_C1SP2,topological_C2SP2,topological_ATSc5
P00374	constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,electronic_tpsaEfficiency,topological_nSmallRings,topological_nAromRings,topological_nAromBlocks,topological_tpsaEfficiency,topological_MDEC.23,topological_MDEC.34,topological_MDEN.11,topological_MDEN.12,topological_MDEN.13,topological_MDEN.23,topological_khs.dssC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aaN,topological_C2SP2
