	constitutional_XLogP	constitutional_MW	constitutional_LipinskiFailures	constitutional_nRotB	constitutional_MLogP	constitutional_nAtomLAC	constitutional_nAtomP	constitutional_nAtomLC	constitutional_nB	constitutional_nBase	constitutional_nAtom	constitutional_nAromBond	constitutional_naAromAtom	constitutional_ALogP	constitutional_ALogp2	constitutional_AMR	electronic_tpsaEfficiency	electronic_TopoPSA	electronic_nHBDon	electronic_nHBAcc	electronic_PPSA.1	electronic_PPSA.2	electronic_PPSA.3	electronic_PNSA.1	electronic_PNSA.2	electronic_PNSA.3	electronic_DPSA.1	electronic_DPSA.2	electronic_DPSA.3	electronic_FPSA.1	electronic_FPSA.2	electronic_FPSA.3	electronic_FNSA.1	electronic_FNSA.2	electronic_FNSA.3	electronic_WPSA.1	electronic_WPSA.2	electronic_WPSA.3	electronic_WNSA.1	electronic_WNSA.2	electronic_WNSA.3	electronic_RPCG	electronic_RNCG	electronic_RPCS	electronic_RNCS	electronic_THSA	electronic_TPSA	electronic_RHSA	electronic_RPSA	electronic_bpol	electronic_apol	geometrical_topoShape	geometrical_geomShape	geometrical_MOMI.X	geometrical_MOMI.Y	geometrical_MOMI.Z	geometrical_MOMI.XY	geometrical_MOMI.XZ	geometrical_MOMI.YZ	geometrical_MOMI.R	geometrical_LOBMAX	geometrical_LOBMIN	geometrical_GRAV.1	geometrical_GRAV.2	geometrical_GRAV.3	geometrical_GRAVH.1	geometrical_GRAVH.2	geometrical_GRAVH.3	geometrical_GRAV.4	geometrical_GRAV.5	geometrical_GRAV.6	geometrical_PPSA.1	geometrical_PPSA.2	geometrical_PPSA.3	geometrical_PNSA.1	geometrical_PNSA.2	geometrical_PNSA.3	geometrical_DPSA.1	geometrical_DPSA.2	geometrical_DPSA.3	geometrical_FPSA.1	geometrical_FPSA.2	geometrical_FPSA.3	geometrical_FNSA.1	geometrical_FNSA.2	geometrical_FNSA.3	geometrical_WPSA.1	geometrical_WPSA.2	geometrical_WPSA.3	geometrical_WNSA.1	geometrical_WNSA.2	geometrical_WNSA.3	geometrical_RPCG	geometrical_RNCG	geometrical_RPCS	geometrical_RNCS	geometrical_THSA	geometrical_TPSA	geometrical_RHSA	geometrical_RPSA	hybrid_Wlambda1.unity	hybrid_Wlambda2.unity	hybrid_Wlambda3.unity	hybrid_Wnu1.unity	hybrid_Wnu2.unity	hybrid_Weta1.unity	hybrid_Weta2.unity	hybrid_Weta3.unity	hybrid_WT.unity	hybrid_WA.unity	hybrid_WV.unity	hybrid_WK.unity	hybrid_WD.unity	hybrid_BCUTw.1l	hybrid_BCUTw.1h	hybrid_BCUTc.1l	hybrid_BCUTc.1h	hybrid_BCUTp.1l	hybrid_BCUTp.1h	topological_nSmallRings	topological_nAromRings	topological_nRingBlocks	topological_nAromBlocks	topological_nRings3	topological_nRings4	topological_nRings5	topological_nRings6	topological_nRings7	topological_nRings8	topological_nRings9	topological_tpsaEfficiency	topological_Zagreb	topological_WPATH	topological_WPOL	topological_VAdjMat	topological_VABC	topological_TopoPSA	topological_topoShape	topological_geomShape	topological_PetitjeanNumber	topological_MDEC.11	topological_MDEC.12	topological_MDEC.13	topological_MDEC.14	topological_MDEC.22	topological_MDEC.23	topological_MDEC.24	topological_MDEC.33	topological_MDEC.34	topological_MDEC.44	topological_MDEO.11	topological_MDEO.12	topological_MDEO.22	topological_MDEN.11	topological_MDEN.12	topological_MDEN.13	topological_MDEN.22	topological_MDEN.23	topological_MDEN.33	topological_khs.sLi	topological_khs.ssBe	topological_khs.ssssBe	topological_khs.ssBH	topological_khs.sssB	topological_khs.ssssB	topological_khs.sCH3	topological_khs.dCH2	topological_khs.ssCH2	topological_khs.tCH	topological_khs.dsCH	topological_khs.aaCH	topological_khs.sssCH	topological_khs.ddC	topological_khs.tsC	topological_khs.dssC	topological_khs.aasC	topological_khs.aaaC	topological_khs.ssssC	topological_khs.sNH3	topological_khs.sNH2	topological_khs.ssNH2	topological_khs.dNH	topological_khs.ssNH	topological_khs.aaNH	topological_khs.tN	topological_khs.sssNH	topological_khs.dsN	topological_khs.aaN	topological_khs.sssN	topological_khs.ddsN	topological_khs.aasN	topological_khs.ssssN	topological_khs.sOH	topological_khs.dO	topological_khs.ssO	topological_khs.aaO	topological_khs.sF	topological_khs.sSiH3	topological_khs.ssSiH2	topological_khs.sssSiH	topological_khs.ssssSi	topological_khs.sPH2	topological_khs.ssPH	topological_khs.sssP	topological_khs.dsssP	topological_khs.sssssP	topological_khs.sSH	topological_khs.dS	topological_khs.ssS	topological_khs.aaS	topological_khs.dssS	topological_khs.ddssS	topological_khs.sCl	topological_khs.sGeH3	topological_khs.ssGeH2	topological_khs.sssGeH	topological_khs.ssssGe	topological_khs.sAsH2	topological_khs.ssAsH	topological_khs.sssAs	topological_khs.sssdAs	topological_khs.sssssAs	topological_khs.sSeH	topological_khs.dSe	topological_khs.ssSe	topological_khs.aaSe	topological_khs.dssSe	topological_khs.ddssSe	topological_khs.sBr	topological_khs.sSnH3	topological_khs.ssSnH2	topological_khs.sssSnH	topological_khs.ssssSn	topological_khs.sI	topological_khs.sPbH3	topological_khs.ssPbH2	topological_khs.sssPbH	topological_khs.ssssPb	topological_Kier1	topological_Kier2	topological_Kier3	topological_HybRatio	topological_fragC	topological_FMF	topological_ECCEN	topological_SCH.3	topological_SCH.4	topological_SCH.5	topological_SCH.6	topological_SCH.7	topological_VCH.3	topological_VCH.4	topological_VCH.5	topological_VCH.6	topological_VCH.7	topological_C1SP1	topological_C2SP1	topological_C1SP2	topological_C2SP2	topological_C3SP2	topological_C1SP3	topological_C2SP3	topological_C3SP3	topological_C4SP3	topological_ATSp1	topological_ATSp2	topological_ATSp3	topological_ATSp4	topological_ATSp5	topological_ATSm1	topological_ATSm2	topological_ATSm3	topological_ATSm4	topological_ATSm5	topological_ATSc1	topological_ATSc2	topological_ATSc3	topological_ATSc4	topological_ATSc5	toxicity_label
cefazolin	0.27900	454.03001	1	8	1.35000	2	8	3	32	0	43	10	10	-0.78580	0.61748	112.69480	0.51743	234.93000	2	11	303.65872	764.86904	24.21940	439.09272	-1106.00620	-68.70831	-135.43400	1870.87524	92.92771	0.40883	1.02978	0.03261	0.59117	-1.48907	-0.09251	225.54295	568.10758	17.98899	326.13675	-821.48770	-51.03320	0.11995	0.12979	0.29424	3.53730	564.56544	178.18601	0.76010	0.23990	30.95890	54.68310	1.00000	0.75422	8703.28238	8191.70876	2043.01682	1.06245	4.26002	4.00961	8.53361	1.89646	1.89646	3019.23881	54.94760	14.45326	3164.92251	56.25764	14.68208	7226.04407	85.00614	19.33304	303.65872	764.86904	24.21940	439.09272	-1106.00620	-68.70831	-135.43400	1870.87524	92.92771	0.40883	1.02978	0.03261	0.59117	-1.48907	-0.09251	225.54295	568.10758	17.98899	326.13675	-821.48770	-51.03320	0.11995	0.12979	0.29424	3.53730	564.56544	178.18601	0.76010	0.23990	1.70785	3.60967	16.68795	0.07761	0.16404	0.49836	0.46435	0.52932	22.00547	94.90321	219.78591	0.31877	1.49203	11.99900	31.97408	-0.32705	0.30226	5.00050	12.54446	4	2	3	2	0	1	2	1	0	0	0	0.51743	156	2468	41	6.00000	337.04480	234.93000	1.00000	0.75422	0.50000	0.00000	0.44008	1.50470	0.00000	1.20343	8.44731	0.00000	10.10521	0.00000	0.00000	1.19527	0.00000	0.00000	0.00000	0.00000	0.00000	2.70462	2.57347	0.16667	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	5	2	0	0	0	0	0	0	1	0	0	0	0	5	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.20312	9.64650	4.92404	0.42857	1304.15000	0.53488	756	0.00000	0.11111	0.59458	0.90135	1.18176	0.00000	0.07454	0.28058	0.50654	0.64641	0	0	4	1	1	5	1	0	0	2390.53839	2858.63822	3870.99501	3706.99308	3506.32227	53.36098	46.44882	71.71078	62.67295	69.20490	0.80847	-0.39291	-0.02807	0.32737	-0.49768	0
cefdinir	-2.08100	395.03581	0	6	1.68000	2	12	5	28	0	39	5	5	-0.11820	0.01397	95.20740	0.53603	211.75000	4	8	394.13224	1121.46671	42.41068	281.38775	-800.66273	-55.93737	112.74449	1922.12944	98.34805	0.58345	1.66015	0.06278	0.41655	-1.18525	-0.08281	266.24420	757.57318	28.64926	190.08305	-540.86368	-37.78681	0.10629	0.11489	0.42117	1.71777	439.86653	235.65346	0.65115	0.34885	24.94569	48.61831	0.85714	0.83561	6683.56085	5938.80871	1431.16270	1.12540	4.67002	4.14964	7.81990	1.61490	1.61490	2536.04491	50.35916	13.63700	2685.54395	51.82223	13.89987	6052.22327	77.79604	18.22377	394.13224	1121.46671	42.41068	281.38775	-800.66273	-55.93737	112.74449	1922.12944	98.34805	0.58345	1.66015	0.06278	0.41655	-1.18525	-0.08281	266.24420	757.57318	28.64926	190.08305	-540.86368	-37.78681	0.10629	0.11489	0.42117	1.71777	439.86653	235.65346	0.65115	0.34885	1.48443	3.93284	14.42425	0.07481	0.19821	0.37785	0.47245	0.58048	19.84151	83.97804	188.02855	0.29523	1.43078	11.99796	31.97379	-0.32706	0.30257	4.62696	11.93336	3	1	2	1	0	1	1	1	0	0	0	0.53603	138	1701	42	5.80735	317.59218	211.75000	0.85714	0.83561	0.46154	0.00000	0.93530	1.78122	0.00000	0.55260	7.53224	0.00000	13.03865	0.00000	0.00000	1.71740	0.00000	0.00000	0.00000	0.76631	0.11111	0.90856	0.59841	0.00000	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	6	2	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.72704	8.56633	3.93817	0.21429	1031.12000	0.41026	552	0.00000	0.11111	0.45025	0.78400	1.13013	0.00000	0.07454	0.27531	0.43914	0.55694	0	0	5	4	1	2	1	0	0	2020.88885	2432.15945	3330.81687	3320.52492	3049.79159	43.92775	38.05661	55.91337	57.90639	64.45466	0.77023	-0.37598	-0.04661	0.25697	-0.30693	1
cefditoren	1.72800	620.11816	2	13	2.45000	3	15	8	44	0	69	10	10	2.33180	5.43729	156.74360	0.41473	257.18000	2	11	637.49738	2409.33412	41.18867	339.40973	-1282.75265	-63.77539	298.08765	3692.08677	104.96406	0.65257	2.46629	0.04216	0.34743	-1.31308	-0.06528	622.77573	2353.69565	40.23750	331.57178	-1253.13019	-62.30264	0.08127	0.07593	0.13802	0.40003	761.47965	215.42747	0.77948	0.22052	51.64980	83.58420	0.88889	0.81719	15464.89955	10792.14742	6269.81982	1.43298	2.46656	1.72129	10.14303	1.17226	1.06254	3940.70359	62.77502	15.79518	4224.30582	64.99466	16.16535	10534.10515	102.63579	21.92128	637.49738	2409.33412	41.18867	339.40973	-1282.75265	-63.77539	298.08765	3692.08677	104.96406	0.65257	2.46629	0.04216	0.34743	-1.31308	-0.06528	622.77573	2353.69565	40.23750	331.57178	-1253.13019	-62.30264	0.08127	0.07593	0.13802	0.40003	761.47965	215.42747	0.77948	0.22052	1.61723	12.51602	17.17476	0.05166	0.39977	0.36287	0.41391	0.41089	31.30802	262.97659	641.92454	0.16143	1.18768	11.99793	31.97457	-0.28744	0.30738	4.65220	12.22416	4	2	3	2	0	1	2	1	0	0	0	0.41473	216	6137	63	6.45943	523.76841	257.18000	0.88889	0.81719	0.47059	1.24929	3.53401	7.94782	1.76976	2.81559	15.62840	0.73735	16.64129	1.68525	0.00000	0.84343	2.19767	0.48274	0.00000	0.71861	0.11111	0.94498	0.73399	0.00000	0	0	0	0	0	0	5	0	2	0	2	2	2	0	0	7	4	0	1	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.88430	14.85352	8.18594	0.40000	3544.16000	0.33333	1153	0.00000	0.11111	0.56810	0.98519	1.26154	0.00000	0.07454	0.35437	0.56384	0.62821	0	0	5	7	1	6	1	0	1	3219.36342	3819.12661	5242.03899	5168.30531	5053.30861	66.96442	59.38900	87.07807	85.73306	87.66994	1.31435	-0.77976	0.20183	-0.01370	-0.05115	1
cefepime	-3.05600	480.12496	0	8	2.12000	2	12	6	35	2	56	5	5	-3.32180	11.03436	113.47690	0.42401	203.58000	2	8	489.47025	1489.70602	37.47827	277.26040	-843.84391	-56.05351	212.20985	2333.54994	93.53178	0.63839	1.94293	0.04888	0.36161	-1.10057	-0.07311	375.29184	1142.20327	28.73574	212.58405	-647.00099	-42.97795	0.13056	0.11252	2.41025	0.00000	551.82903	214.90162	0.71972	0.28028	42.48497	65.85303	0.87500	0.91452	8925.52002	7198.58227	2535.78382	1.23990	3.51983	2.83880	8.45489	1.63031	1.59516	3038.47050	55.12232	14.48388	3281.43661	57.28383	14.86009	7716.77028	87.84515	19.76113	489.47025	1489.70602	37.47827	277.26040	-843.84391	-56.05351	212.20985	2333.54994	93.53178	0.63839	1.94293	0.04888	0.36161	-1.10057	-0.07311	375.29184	1142.20327	28.73574	212.58405	-647.00099	-42.97795	0.13056	0.11252	2.41025	0.00000	551.82903	214.90162	0.71972	0.28028	1.20708	3.90381	18.93620	0.05020	0.16234	0.38590	0.33658	0.50108	24.04709	101.49305	214.77174	0.34060	1.22355	11.99794	31.97379	-0.34259	0.39746	4.67781	12.06050	4	1	3	1	0	1	2	1	0	0	0	0.42401	174	3029	50	6.12928	405.34886	203.58000	0.87500	0.91452	0.46667	0.07692	2.38800	3.10795	0.00000	5.85289	12.46331	0.00000	13.03865	0.00000	0.00000	1.19527	0.54988	0.00000	0.00000	0.76631	0.11111	0.90856	0.59841	0.00000	0	0	0	0	0	0	2	0	6	0	0	1	2	0	0	6	2	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.10367	10.31805	5.17754	0.52632	2489.13000	0.39286	801	0.00000	0.11111	0.57525	0.99739	1.26955	0.00000	0.07454	0.45209	0.74092	0.74578	0	0	4	3	1	5	3	0	0	2588.21055	3130.86480	4401.48425	4285.20585	4234.84825	50.28773	46.05343	67.57810	66.23876	75.25832	1.06325	-0.54040	-0.07754	0.23966	-0.18562	0
cefixime	-2.53300	453.04129	0	9	1.68000	2	12	8	32	0	45	5	5	-0.67980	0.46213	107.58930	0.52545	238.05000	4	10	389.46933	1327.79059	41.75632	387.35710	-1320.58951	-85.72379	2.11223	2648.38009	127.48011	0.50136	1.70925	0.05375	0.49864	-1.69998	-0.11035	302.55007	1031.46282	32.43741	300.90923	-1025.86883	-66.59250	0.08871	0.09670	1.90263	3.09526	443.83384	332.99259	0.57134	0.42866	30.00610	55.07589	1.00000	0.86526	9036.19425	7186.38315	2665.25943	1.25741	3.39036	2.69632	8.79205	1.52812	1.41456	2913.75412	53.97920	14.28294	3082.70693	55.52213	14.55383	7075.49789	84.11598	19.19784	389.46933	1327.79059	41.75632	387.35710	-1320.58951	-85.72379	2.11223	2648.38009	127.48011	0.50136	1.70925	0.05375	0.49864	-1.69998	-0.11035	302.55007	1031.46282	32.43741	300.90923	-1025.86883	-66.59250	0.08871	0.09670	1.90263	3.09526	443.83384	332.99259	0.57134	0.42866	1.35622	4.71896	17.87551	0.05663	0.19703	0.40246	0.46167	0.56484	23.95068	114.99683	253.34991	0.30976	1.42897	11.99618	31.97307	-0.34570	0.32130	3.60924	11.96593	3	1	2	1	0	1	1	1	0	0	0	0.52545	156	2560	46	6.00000	367.12814	238.05000	1.00000	0.86526	0.50000	0.00000	0.89668	1.81535	0.00000	0.91558	9.77579	0.00000	13.93839	0.00000	0.00000	2.15121	1.10811	0.00000	0.00000	0.76631	0.11111	0.90856	0.59841	0.00000	0	0	0	0	0	0	0	1	2	0	1	1	2	0	0	7	2	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.63867	10.74480	5.50676	0.25000	1339.14000	0.35556	685	0.00000	0.11111	0.45025	0.78400	1.13013	0.00000	0.07454	0.27531	0.43914	0.55694	0	0	6	4	1	3	1	0	0	2193.66775	2626.28032	3583.81489	3613.91933	3448.12394	49.47669	43.05288	62.85030	63.62151	70.56159	1.09928	-0.46608	-0.27034	0.31107	-0.00719	0
cefmetazole	-0.96800	471.04533	1	10	1.46000	2	8	7	32	0	47	5	5	-0.27770	0.07712	115.06110	0.50787	239.23000	2	11	314.29687	902.89732	22.94288	385.30470	-1106.88527	-73.58612	-71.00782	2009.78259	96.52900	0.44925	1.29059	0.03279	0.55075	-1.58217	-0.10518	219.88259	631.66839	16.05088	269.55977	-774.37867	-51.48096	0.10508	0.12278	0.37342	1.15041	469.53851	230.06306	0.67115	0.32885	35.49452	58.14548	1.00000	0.86964	7979.37915	7246.05779	2009.88403	1.10120	3.97007	3.60521	8.06855	2.05260	1.77870	3000.90634	54.78053	14.42395	3175.51130	56.35168	14.69844	7733.54678	87.94059	19.77544	314.29687	902.89732	22.94288	385.30470	-1106.88527	-73.58612	-71.00782	2009.78259	96.52900	0.44925	1.29059	0.03279	0.55075	-1.58217	-0.10518	219.88259	631.66839	16.05088	269.55977	-774.37867	-51.48096	0.10508	0.12278	0.37342	1.15041	469.53851	230.06306	0.67115	0.32885	1.64270	3.04957	14.67569	0.08482	0.15745	0.48106	0.41650	0.49002	19.36796	73.87186	166.75816	0.31830	1.38758	11.99900	31.97408	-0.35286	0.30202	4.29490	12.61005	3	1	2	1	0	1	1	1	0	0	0	0.50787	156	2591	48	6.00000	375.39071	239.23000	1.00000	0.86964	0.50000	0.09091	1.32653	2.59980	0.47140	2.15817	7.67342	1.18278	6.56058	2.76177	0.00000	1.19527	0.87738	0.00000	0.00000	0.32467	0.17213	1.72031	2.18962	0.16667	0	0	0	0	0	0	2	0	4	0	0	0	1	0	1	5	1	0	1	0	0	0	0	1	0	1	0	0	3	1	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.63867	10.74480	5.01018	0.57143	1531.15000	0.31915	745	0.00000	0.09623	0.47376	0.99820	1.54112	0.00000	0.06455	0.21631	0.45427	0.67122	1	0	3	1	1	5	1	0	0	2423.24356	2900.91530	4008.12319	4236.59641	4021.63720	54.77547	46.58684	65.85846	80.20291	76.56048	1.03202	-0.53722	-0.09272	0.54720	-0.55489	1
cefoperazone	-0.37900	645.14240	1	12	2.12000	2	9	6	48	0	71	11	11	-0.25770	0.06641	157.93080	0.41985	270.86000	4	15	536.41268	2244.49350	38.64215	458.49643	-1918.47115	-90.08468	77.91625	4162.96465	128.72683	0.53916	2.25598	0.03884	0.46084	-1.92829	-0.09055	533.68186	2233.06701	38.44543	456.16227	-1908.70441	-89.62607	0.07221	0.08613	0.42238	2.81598	670.52095	324.38815	0.67395	0.32605	49.06459	84.11941	1.00000	0.78505	22646.32319	20386.87137	3805.57317	1.11083	5.95083	5.35711	10.84144	1.73903	1.72153	4177.79579	64.63587	16.10580	4460.38412	66.78611	16.46105	10929.95598	104.54643	22.19250	536.41268	2244.49350	38.64215	458.49643	-1918.47115	-90.08468	77.91625	4162.96465	128.72683	0.53916	2.25598	0.03884	0.46084	-1.92829	-0.09055	533.68186	2233.06701	38.44543	456.16227	-1908.70441	-89.62607	0.07221	0.08613	0.42238	2.81598	670.52095	324.38815	0.67395	0.32605	1.66430	6.44126	30.61951	0.04298	0.16633	0.37680	0.42008	0.54101	38.72507	258.90836	625.87994	0.34302	1.33789	11.99427	31.97308	-0.36057	0.30266	4.84772	12.32663	5	2	4	2	0	1	1	3	0	0	0	0.41985	236	7383	75	6.58496	532.04698	270.86000	1.00000	0.78505	0.50000	0.05000	1.98120	3.01400	0.00000	6.15730	22.60502	0.00000	18.77469	0.00000	0.00000	3.58512	0.00000	0.00000	0.00000	0.00000	0.00000	1.97721	3.09747	0.70593	0	0	0	0	0	0	2	0	5	0	0	4	3	0	0	8	3	0	0	0	0	0	0	2	0	0	0	0	3	3	0	1	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.31076	15.48000	7.68668	0.40000	3733.19000	0.45070	1451	0.00000	0.11111	0.45025	0.93818	1.43087	0.00000	0.07454	0.21625	0.45124	0.62866	0	0	5	6	2	7	2	0	0	3340.27261	4010.03076	5573.52510	5947.65195	5610.18850	65.69108	61.07473	90.20053	103.50982	101.92674	1.37547	-0.78858	0.12765	0.41945	-0.80596	0
cefotaxime	-2.71200	455.05694	0	9	1.68000	2	12	6	32	0	47	5	5	-0.83080	0.69023	106.52650	0.49895	227.05000	3	10	447.66743	1451.54294	33.39112	290.44809	-941.76581	-64.92363	157.21934	2393.30876	98.31475	0.60650	1.96655	0.04524	0.39350	-1.27591	-0.08796	330.43028	1071.40638	24.64650	214.38425	-695.13197	-47.92114	0.09320	0.10082	0.22275	2.90293	496.06065	242.05487	0.67206	0.32794	34.10852	56.40948	0.87500	0.90821	7845.59179	6634.10006	2462.83767	1.18262	3.18559	2.69368	8.34438	1.77316	1.76410	2923.01609	54.06492	14.29806	3103.98406	55.71341	14.58724	7247.50271	85.13227	19.35216	447.66743	1451.54294	33.39112	290.44809	-941.76581	-64.92363	157.21934	2393.30876	98.31475	0.60650	1.96655	0.04524	0.39350	-1.27591	-0.08796	330.43028	1071.40638	24.64650	214.38425	-695.13197	-47.92114	0.09320	0.10082	0.22275	2.90293	496.06065	242.05487	0.67206	0.32794	1.53545	4.60583	16.40330	0.06811	0.20430	0.36490	0.47004	0.45922	22.54458	107.80923	246.35813	0.29570	1.29417	11.99795	31.97379	-0.32712	0.30237	3.97357	11.94671	3	1	2	1	0	1	1	1	0	0	0	0.49895	156	2584	46	6.00000	369.76460	227.05000	0.87500	0.90821	0.46667	0.07143	0.88589	3.36660	0.00000	0.55260	8.18109	0.00000	14.10867	0.00000	0.00000	1.64483	1.58765	0.09091	0.00000	0.76631	0.11111	0.90856	0.59841	0.00000	0	0	0	0	0	0	2	0	2	0	0	1	2	0	0	7	2	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.63867	10.74480	5.50676	0.37500	1531.14000	0.34043	717	0.00000	0.11111	0.45025	0.78400	1.13013	0.00000	0.07454	0.27531	0.43914	0.56661	0	0	5	3	1	4	1	0	0	2177.23956	2610.17921	3573.23769	3612.08120	3491.61124	49.47669	43.38498	62.85030	62.90267	72.39274	1.14784	-0.58065	-0.02014	0.17159	-0.10045	1
cefotetan	-1.47700	575.00214	1	10	1.24000	3	8	5	39	0	53	5	5	0.22630	0.05121	132.52790	0.55848	321.13000	4	14	424.22392	1607.07508	43.70933	464.65499	-1760.23892	-89.81605	-40.43107	3367.31400	133.52537	0.47726	1.80798	0.04917	0.52274	-1.98029	-0.10104	377.08369	1428.49514	38.85230	413.02202	-1564.63924	-79.83559	0.07976	0.09304	0.29848	1.23478	552.98127	335.89763	0.62211	0.37789	38.37052	66.97148	0.88889	0.75205	16467.28810	15399.86594	3075.87795	1.06931	5.35369	5.00666	10.03005	2.42817	2.42817	3686.51793	60.71670	15.44799	3872.85926	62.23230	15.70401	9651.14811	98.24026	21.29085	424.22392	1607.07508	43.70933	464.65499	-1760.23892	-89.81605	-40.43107	3367.31400	133.52537	0.47726	1.80798	0.04917	0.52274	-1.98029	-0.10104	377.08369	1428.49514	38.85230	413.02202	-1564.63924	-79.83559	0.07976	0.09304	0.29848	1.23478	552.98127	335.89763	0.62211	0.37789	2.24016	4.80480	26.09602	0.06759	0.14498	0.30099	0.43545	0.52018	33.14098	194.60900	508.63524	0.34057	1.25662	11.99900	31.97508	-0.35266	0.30260	4.88296	12.94103	4	1	3	1	0	2	1	1	0	0	0	0.55848	196	4350	61	6.28540	439.86947	321.13000	0.88889	0.75205	0.47059	0.09091	0.74300	3.38946	0.47140	0.50000	5.24610	0.51640	14.25832	3.46628	0.00000	2.94100	1.14720	0.00000	0.00000	0.29822	0.15811	1.72031	2.18962	0.16667	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	9	1	0	1	0	1	0	0	1	0	0	0	0	3	1	0	1	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.99408	11.62310	5.40646	0.41176	1876.19000	0.39623	1002	0.00000	0.26289	0.66621	1.32913	2.05137	0.00000	0.49756	0.64932	0.97567	1.22745	0	0	6	1	2	4	1	0	0	3169.18272	3884.64890	5293.32556	5592.07959	5355.71730	69.22663	57.92269	88.64999	104.76336	114.28525	1.30061	-0.65892	-0.00508	0.16103	-0.12118	0
cefotiam	-3.04300	525.10351	1	11	1.68000	2	8	4	37	1	57	10	10	-0.05270	0.00278	135.95540	0.47857	251.30000	3	12	525.31674	1610.16360	44.39365	387.65964	-1188.22683	-67.38937	137.65710	2798.39043	111.78302	0.57539	1.76364	0.04863	0.42461	-1.30149	-0.07381	479.60177	1470.04133	40.53035	353.92409	-1084.82303	-61.52490	0.09857	0.10666	0.75949	1.85286	675.76643	237.20995	0.74018	0.25982	42.11776	68.82424	0.90000	0.94263	14212.96548	13272.40615	2265.88237	1.07087	6.27260	5.85750	9.49459	3.13707	3.13707	3353.70935	57.91122	14.96839	3592.95925	59.94130	15.31619	8295.03743	91.07710	20.24290	525.31674	1610.16360	44.39365	387.65964	-1188.22683	-67.38937	137.65710	2798.39043	111.78302	0.57539	1.76364	0.04863	0.42461	-1.30149	-0.07381	479.60177	1470.04133	40.53035	353.92409	-1084.82303	-61.52490	0.09857	0.10666	0.75949	1.85286	675.76643	237.20995	0.74018	0.25982	1.51916	3.04289	29.82048	0.04418	0.08850	0.46806	0.28018	0.51334	34.38253	140.66520	312.89693	0.40049	1.26157	11.99795	31.97457	-0.32711	0.30229	4.98321	12.38410	4	2	3	2	0	1	2	1	0	0	0	0.47857	180	3941	49	6.20945	417.22550	251.30000	0.90000	0.94263	0.47368	0.50000	1.77219	1.85631	0.00000	2.51781	12.11526	0.00000	11.37805	0.00000	0.00000	1.19527	0.00000	0.00000	0.00000	0.58380	0.22314	1.87779	2.88282	0.55032	0	0	0	0	0	0	2	0	5	0	0	1	2	0	0	5	3	0	0	0	1	0	0	1	0	0	0	0	4	2	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.04602	12.02990	6.47837	0.50000	2478.16000	0.40351	1031	0.00000	0.11111	0.56810	0.96596	1.28880	0.00000	0.07454	0.29531	0.49415	0.61508	0	0	4	2	1	5	2	0	0	2743.70869	3253.14895	4408.44052	4271.47385	4107.07927	58.72096	51.75357	75.05646	73.22976	78.39579	0.91235	-0.50603	0.05205	0.23331	-0.35096	1
